DATE;HOME;AWAY;FTHG;FTAG;DIFF
25/05/2024;Bregenz;Admira;1;0;1
25/05/2024;First Vienna;Amstetten;4;1;3
25/05/2024;Grazer AK;Kapfenberg;4;2;2
25/05/2024;Horn;St. Polten;1;3;-2
25/05/2024;Leoben;Sturm Graz (Am);2;1;1
25/05/2024;Liefering;Lafnitz;4;3;1
25/05/2024;Ried;Dornbirn;1;0;1
25/05/2024;Stripfing;Floridsdorfer AC;2;2;0
20/05/2024;Admira;First Vienna;0;3;-3
20/05/2024;Amstetten;Horn;1;1;0
20/05/2024;Dornbirn;Leoben;2;1;1
20/05/2024;Floridsdorfer AC;Grazer AK;0;0;0
20/05/2024;Kapfenberg;Liefering;1;3;-2
20/05/2024;Lafnitz;Ried;0;4;-4
20/05/2024;St. Polten;Bregenz;2;2;0
20/05/2024;Sturm Graz (Am);Stripfing;2;0;2
17/05/2024;Amstetten;Liefering;1;1;0
17/05/2024;Dornbirn;St. Polten;3;1;2
17/05/2024;First Vienna;Kapfenberg;4;2;2
17/05/2024;Horn;Floridsdorfer AC;2;3;-1
17/05/2024;Lafnitz;Admira;1;3;-2
17/05/2024;Leoben;Bregenz;2;0;2
17/05/2024;Ried;Sturm Graz (Am);1;0;1
17/05/2024;Stripfing;Grazer AK;2;5;-3
12/05/2024;Kapfenberg;Amstetten;4;2;2
12/05/2024;Sturm Graz (Am);Lafnitz;1;4;-3
11/05/2024;Floridsdorfer AC;Dornbirn;1;1;0
11/05/2024;Grazer AK;Horn;1;1;0
10/05/2024;St. Polten;Ried;0;4;-4
10/05/2024;Admira;Leoben;2;0;2
10/05/2024;Bregenz;Stripfing;0;2;-2
10/05/2024;Liefering;First Vienna;0;1;-1
05/05/2024;First Vienna;Ried;2;1;1
04/05/2024;Horn;Bregenz;1;0;1
03/05/2024;Grazer AK;Admira;1;0;1
03/05/2024;Amstetten;Floridsdorfer AC;3;2;1
03/05/2024;Dornbirn;Kapfenberg;1;3;-2
03/05/2024;Leoben;St. Polten;0;0;0
03/05/2024;Liefering;Sturm Graz (Am);4;1;3
03/05/2024;Stripfing;Lafnitz;1;1;0
28/04/2024;St. Polten;Stripfing;1;2;-1
27/04/2024;Admira;Liefering;0;0;0
27/04/2024;Bregenz;Grazer AK;0;3;-3
27/04/2024;Sturm Graz (Am);Dornbirn;2;3;-1
27/04/2024;Floridsdorfer AC;First Vienna;1;0;1
26/04/2024;Kapfenberg;Horn;1;3;-2
26/04/2024;Lafnitz;Leoben;2;3;-1
26/04/2024;Ried;Amstetten;3;0;3
21/04/2024;Grazer AK;St. Polten;3;1;2
20/04/2024;Stripfing;Dornbirn;2;2;0
19/04/2024;Bregenz;Floridsdorfer AC;0;2;-2
19/04/2024;Admira;Kapfenberg;1;0;1
19/04/2024;Amstetten;Sturm Graz (Am);1;4;-3
19/04/2024;First Vienna;Lafnitz;2;0;2
19/04/2024;Horn;Ried;0;2;-2
19/04/2024;Leoben;Liefering;1;2;-1
14/04/2024;Lafnitz;Amstetten;2;2;0
14/04/2024;Sturm Graz (Am);Horn;2;1;1
13/04/2024;Ried;Bregenz;5;0;5
12/04/2024;Floridsdorfer AC;Leoben;0;2;-2
12/04/2024;Dornbirn;First Vienna;1;0;1
12/04/2024;Kapfenberg;Stripfing;3;1;2
12/04/2024;Liefering;Grazer AK;2;0;2
12/04/2024;St. Polten;Admira;0;3;-3
07/04/2024;Admira;Floridsdorfer AC;0;0;0
06/04/2024;Amstetten;Dornbirn;0;1;-1
06/04/2024;Bregenz;Sturm Graz (Am);3;3;0
06/04/2024;Grazer AK;Leoben;1;1;0
05/04/2024;First Vienna;St. Polten;7;3;4
05/04/2024;Horn;Lafnitz;2;1;1
05/04/2024;Kapfenberg;Ried;1;3;-2
05/04/2024;Stripfing;Liefering;1;2;-1
31/03/2024;Liefering;Floridsdorfer AC;4;1;3
