DATE;HOME;AWAY;FTHG;FTAG;DIFF
28/05/2024;Hartberg;Austria Vienna;0;1;-1
24/05/2024;Austria Vienna;Hartberg;2;1;1
21/05/2024;Wolfsberger AC;Austria Vienna;1;2;-1
19/05/2024;Salzburg;LASK;7;1;6
19/05/2024;SK Rapid;Hartberg;0;3;-3
19/05/2024;Sturm Graz;A. Klagenfurt;2;0;2
18/05/2024;Altach;A. Lustenau;2;2;0
18/05/2024;BW Linz;Austria Vienna;1;2;-1
18/05/2024;Wolfsberger AC;Tirol;3;1;2
12/05/2024;A. Klagenfurt;SK Rapid;0;1;-1
12/05/2024;Hartberg;Salzburg;1;5;-4
12/05/2024;LASK;Sturm Graz;2;2;0
11/05/2024;A. Lustenau;BW Linz;1;0;1
11/05/2024;Austria Vienna;Wolfsberger AC;0;4;-4
11/05/2024;Tirol;Altach;0;1;-1
05/05/2024;SK Rapid;Salzburg;2;0;2
05/05/2024;A. Klagenfurt;LASK;0;2;-2
05/05/2024;Sturm Graz;Hartberg;1;1;0
04/05/2024;Altach;Wolfsberger AC;0;1;-1
04/05/2024;BW Linz;Tirol;3;2;1
03/05/2024;A. Lustenau;Austria Vienna;2;0;2
28/04/2024;Salzburg;Sturm Graz;2;2;0
28/04/2024;Hartberg;A. Klagenfurt;3;2;1
28/04/2024;LASK;SK Rapid;5;0;5
27/04/2024;Tirol;A. Lustenau;0;0;0
27/04/2024;Wolfsberger AC;BW Linz;0;2;-2
26/04/2024;Austria Vienna;Altach;2;2;0
24/04/2024;SK Rapid;Sturm Graz;1;3;-2
24/04/2024;A. Klagenfurt;Salzburg;4;3;1
24/04/2024;Hartberg;LASK;1;2;-1
23/04/2024;BW Linz;Altach;2;1;1
23/04/2024;A. Lustenau;Wolfsberger AC;1;2;-1
23/04/2024;Tirol;Austria Vienna;1;0;1
21/04/2024;Salzburg;A. Klagenfurt;4;2;2
21/04/2024;LASK;Hartberg;1;3;-2
20/04/2024;Altach;BW Linz;2;2;0
20/04/2024;Austria Vienna;Tirol;3;0;3
20/04/2024;Wolfsberger AC;A. Lustenau;1;1;0
19/04/2024;Sturm Graz;SK Rapid;1;0;1
14/04/2024;SK Rapid;A. Klagenfurt;1;1;0
14/04/2024;Hartberg;Sturm Graz;1;3;-2
13/04/2024;A. Lustenau;Altach;0;1;-1
13/04/2024;Tirol;BW Linz;2;1;1
13/04/2024;Wolfsberger AC;Austria Vienna;0;1;-1
12/04/2024;LASK;Salzburg;3;1;2
07/04/2024;Salzburg;SK Rapid;1;1;0
07/04/2024;A. Klagenfurt;Hartberg;2;2;0
07/04/2024;Sturm Graz;LASK;1;0;1
06/04/2024;BW Linz;Wolfsberger AC;0;0;0
06/04/2024;Austria Vienna;A. Lustenau;1;1;0
05/04/2024;Altach;Tirol;0;0;0
31/03/2024;Sturm Graz;Salzburg;0;1;-1
