DATE;HOME;AWAY;FTHG;FTAG;DIFF
20/04/2024;Anderlecht U23;Club Brugge KV U23;1;2;-1
19/04/2024;Beerschot VA;Patro Eisden;0;1;-1
19/04/2024;Francs Borains;Dender;0;3;-3
19/04/2024;Lommel SK;Beveren;3;1;2
19/04/2024;Oostende;St. Liege U23;2;1;1
19/04/2024;RFC Liege;Genk U23;5;0;5
19/04/2024;Seraing;Deinze;1;2;-1
19/04/2024;Waregem;Lierse K.;4;1;3
14/04/2024;Patro Eisden;Oostende;2;3;-1
14/04/2024;St. Liege U23;Seraing;1;2;-1
14/04/2024;Beveren;Beerschot VA;2;0;2
13/04/2024;Deinze;Lommel SK;3;2;1
13/04/2024;Dender;Waregem;1;4;-3
13/04/2024;Lierse K.;Anderlecht U23;1;1;0
12/04/2024;Club Brugge KV U23;RFC Liege;1;2;-1
12/04/2024;Genk U23;Francs Borains;1;1;0
07/04/2024;Francs Borains;RFC Liege;2;2;0
07/04/2024;Oostende;Beerschot VA;1;2;-1
07/04/2024;Genk U23;St. Liege U23;1;0;1
06/04/2024;Dender;Deinze;3;0;3
06/04/2024;Lommel SK;Seraing;0;0;0
06/04/2024;Lierse K.;Club Brugge KV U23;3;1;2
05/04/2024;Beveren;Anderlecht U23;2;1;1
05/04/2024;Waregem;Patro Eisden;0;0;0
31/03/2024;RFC Liege;Beveren;5;1;4
31/03/2024;Patro Eisden;Lommel SK;3;0;3
31/03/2024;Seraing;Oostende;1;1;0
30/03/2024;Deinze;Waregem;1;1;0
30/03/2024;St. Liege U23;Lierse K.;0;1;-1
30/03/2024;Anderlecht U23;Francs Borains;3;3;0
29/03/2024;Beerschot VA;Genk U23;1;0;1
29/03/2024;Club Brugge KV U23;Dender;0;1;-1
16/03/2024;Dender;St. Liege U23;4;1;3
16/03/2024;Genk U23;Oostende;3;1;2
16/03/2024;Deinze;Francs Borains;2;3;-1
16/03/2024;Lierse K.;RFC Liege;3;2;1
16/03/2024;Lommel SK;Anderlecht U23;3;1;2
15/03/2024;Beveren;Patro Eisden;0;1;-1
15/03/2024;Club Brugge KV U23;Seraing;1;1;0
15/03/2024;Waregem;Beerschot VA;0;1;-1
10/03/2024;RFC Liege;Deinze;1;0;1
10/03/2024;Francs Borains;Lommel SK;1;2;-1
10/03/2024;Anderlecht U23;Waregem;0;1;-1
09/03/2024;Oostende;Dender;0;1;-1
09/03/2024;Seraing;Beveren;1;2;-1
09/03/2024;St. Liege U23;Club Brugge KV U23;1;2;-1
08/03/2024;Beerschot VA;Lierse K.;2;1;1
08/03/2024;Patro Eisden;Genk U23;2;2;0
03/03/2024;Beveren;Oostende;2;3;-1
03/03/2024;Seraing;Patro Eisden;3;0;3
03/03/2024;Dender;Beerschot VA;1;1;0
02/03/2024;Deinze;Anderlecht U23;4;1;3
02/03/2024;Lommel SK;RFC Liege;4;1;3
02/03/2024;Lierse K.;Francs Borains;3;1;2
01/03/2024;Club Brugge KV U23;Genk U23;2;1;1
01/03/2024;Waregem;St. Liege U23;1;1;0
25/02/2024;Francs Borains;Waregem;2;1;1
25/02/2024;Genk U23;Lommel SK;1;1;0
25/02/2024;Beerschot VA;Seraing;0;0;0
24/02/2024;Oostende;Club Brugge KV U23;1;4;-3
24/02/2024;RFC Liege;St. Liege U23;1;1;0
24/02/2024;Anderlecht U23;Dender;2;1;1
