DATE;HOME;AWAY;FTHG;FTAG;DIFF
04/06/2023;Genk;Antwerp;2;2;0
04/06/2023;Royale Union SG;Club Brugge KV;1;3;-2
03/06/2023;Cercle Brugge KSV;Westerlo;2;0;2
03/06/2023;Gent;St. Liege;3;1;2
28/05/2023;Club Brugge KV;Genk;1;3;-2
28/05/2023;Antwerp;Royale Union SG;1;1;0
27/05/2023;St. Liege;Cercle Brugge KSV;0;4;-4
27/05/2023;Westerlo;Gent;1;3;-2
21/05/2023;Genk;Royale Union SG;1;1;0
21/05/2023;Club Brugge KV;Antwerp;2;0;2
20/05/2023;Gent;Cercle Brugge KSV;2;2;0
20/05/2023;Westerlo;St. Liege;3;0;3
14/05/2023;Royale Union SG;Genk;3;0;3
14/05/2023;Antwerp;Club Brugge KV;3;2;1
13/05/2023;St. Liege;Westerlo;2;2;0
13/05/2023;Cercle Brugge KSV;Gent;0;4;-4
07/05/2023;Antwerp;Genk;2;1;1
07/05/2023;Westerlo;Cercle Brugge KSV;3;5;-2
06/05/2023;St. Liege;Gent;1;2;-1
06/05/2023;Club Brugge KV;Royale Union SG;1;2;-1
03/05/2023;Royale Union SG;Antwerp;0;2;-2
30/04/2023;Genk;Club Brugge KV;3;1;2
29/04/2023;Cercle Brugge KSV;St. Liege;0;0;0
28/04/2023;Gent;Westerlo;3;1;2
23/04/2023;Anderlecht;KV Mechelen;2;3;-1
23/04/2023;Charleroi;Genk;2;2;0
23/04/2023;Club Brugge KV;Eupen;7;0;7
23/04/2023;Gent;Oostende;1;2;-1
23/04/2023;Kortrijk;Royale Union SG;2;4;-2
23/04/2023;Leuven;St. Liege;3;2;1
23/04/2023;Waregem;Cercle Brugge KSV;2;3;-1
23/04/2023;St. Truiden;Antwerp;0;1;-1
22/04/2023;Seraing;Westerlo;1;1;0
16/04/2023;Royale Union SG;Seraing;2;1;1
16/04/2023;Antwerp;Kortrijk;1;0;1
16/04/2023;KV Mechelen;Gent;1;1;0
16/04/2023;Genk;Anderlecht;5;2;3
15/04/2023;Westerlo;Club Brugge KV;0;0;0
15/04/2023;Cercle Brugge KSV;St. Truiden;3;1;2
15/04/2023;Oostende;Leuven;0;4;-4
15/04/2023;Eupen;Waregem;1;5;-4
14/04/2023;St. Liege;Charleroi;3;1;2
09/04/2023;St. Truiden;Oostende;5;0;5
09/04/2023;St. Liege;Genk;2;0;2
09/04/2023;Antwerp;Cercle Brugge KSV;2;1;1
09/04/2023;Anderlecht;Westerlo;0;0;0
08/04/2023;Gent;Royale Union SG;1;1;0
08/04/2023;Charleroi;Waregem;3;2;1
08/04/2023;Kortrijk;Eupen;0;0;0
08/04/2023;Leuven;KV Mechelen;4;1;3
07/04/2023;Club Brugge KV;Seraing;2;0;2
02/04/2023;Royale Union SG;St. Truiden;2;1;1
02/04/2023;KV Mechelen;Club Brugge KV;0;3;-3
02/04/2023;Eupen;Anderlecht;0;1;-1
02/04/2023;Genk;Leuven;2;1;1
01/04/2023;Oostende;St. Liege;1;3;-2
01/04/2023;Seraing;Gent;0;5;-5
01/04/2023;Westerlo;Charleroi;2;3;-1
01/04/2023;Cercle Brugge KSV;Kortrijk;2;0;2
31/03/2023;Waregem;Antwerp;0;2;-2
19/03/2023;Gent;Eupen;3;0;3
19/03/2023;Royale Union SG;KV Mechelen;2;1;1
19/03/2023;Leuven;Anderlecht;0;2;-2
