HOME;AWAY;FTHG;FTAG;DIFF
Arsenal;Everton;2;1;1
Brentford;Newcastle;2;4;-2
Brighton;Manchester Utd;0;2;-2
Burnley;Nottingham;1;2;-1
Chelsea;Bournemouth;2;1;1
Crystal Palace;Aston Villa;5;0;5
Liverpool;Wolves;2;0;2
Luton;Fulham;2;4;-2
Manchester City;West Ham;3;1;2
Sheffield Utd;Tottenham;0;3;-3
Manchester Utd;Newcastle;3;2;1
Brighton;Chelsea;1;2;-1
Tottenham;Manchester City;0;2;-2
Aston Villa;Liverpool;3;3;0
Manchester Utd;Arsenal;0;1;-1
Nottingham;Chelsea;2;3;-1
Bournemouth;Brentford;1;2;-1
Everton;Sheffield Utd;1;0;1
Newcastle;Brighton;1;1;0
Tottenham;Burnley;2;1;1
West Ham;Luton;3;1;2
Wolves;Crystal Palace;1;3;-2
Fulham;Manchester City;0;4;-4
Crystal Palace;Manchester Utd;4;0;4
Liverpool;Tottenham;4;2;2
Brighton;Aston Villa;1;0;1
Chelsea;West Ham;5;0;5
Manchester City;Wolves;5;1;4
Brentford;Fulham;0;0;0
Burnley;Newcastle;1;4;-3
Sheffield Utd;Nottingham;1;3;-2
Arsenal;Bournemouth;3;0;3
Luton;Everton;1;1;0
Chelsea;Tottenham;2;0;2
Nottingham;Manchester City;0;2;-2
Bournemouth;Brighton;3;0;3
Tottenham;Arsenal;2;3;-1
Aston Villa;Chelsea;2;2;0
Everton;Brentford;1;0;1
Fulham;Crystal Palace;1;1;0
Manchester Utd;Burnley;1;1;0
Newcastle;Sheffield Utd;5;1;4
Wolves;Luton;2;1;1
West Ham;Liverpool;2;2;0
Brighton;Manchester City;0;4;-4
Crystal Palace;Newcastle;2;0;2
Everton;Liverpool;2;0;2
Manchester Utd;Sheffield Utd;4;2;2
Wolves;Bournemouth;0;1;-1
Arsenal;Chelsea;5;0;5
Fulham;Liverpool;1;3;-2
Aston Villa;Bournemouth;3;1;2
Crystal Palace;West Ham;5;2;3
Everton;Nottingham;2;0;2
Wolves;Arsenal;0;2;-2
Luton;Brentford;1;5;-4
Sheffield Utd;Burnley;1;4;-3
Chelsea;Everton;6;0;6
Arsenal;Aston Villa;0;2;-2
Liverpool;Crystal Palace;0;1;-1
West Ham;Fulham;0;2;-2
Bournemouth;Manchester Utd;2;2;0
Brentford;Sheffield Utd;2;0;2
Burnley;Brighton;1;1;0
Manchester City;Luton;5;1;4
Nottingham;Wolves;2;2;0
Newcastle;Tottenham;4;0;4
Tottenham;Nottingham;3;1;2
Sheffield Utd;Chelsea;2;2;0
Manchester Utd;Liverpool;2;2;0
Brighton;Arsenal;0;3;-3
Aston Villa;Brentford;3;3;0
Everton;Burnley;1;0;1
Fulham;Newcastle;0;1;-1
Luton;Bournemouth;2;1;1
Wolves;West Ham;1;2;-1
Crystal Palace;Manchester City;2;4;-2
Chelsea;Manchester Utd;4;3;1
Liverpool;Sheffield Utd;3;1;2
Manchester City;Aston Villa;4;1;3
Arsenal;Luton;2;0;2
Brentford;Brighton;0;0;0
West Ham;Tottenham;1;1;0
Bournemouth;Crystal Palace;1;0;1
Burnley;Wolves;1;1;0
Newcastle;Everton;1;1;0
Nottingham;Fulham;3;1;2
Manchester City;Arsenal;0;0;0
Liverpool;Brighton;2;1;1
Brentford;Manchester Utd;1;1;0
Aston Villa;Wolves;2;0;2
Bournemouth;Everton;2;1;1
Chelsea;Burnley;2;2;0
Nottingham;Crystal Palace;1;1;0
Sheffield Utd;Fulham;3;3;0
Tottenham;Luton;2;1;1
Newcastle;West Ham;4;3;1
West Ham;Aston Villa;1;1;0
Fulham;Tottenham;3;0;3
Burnley;Brentford;2;1;1
Luton;Nottingham;1;1;0
Bournemouth;Luton;4;3;1
Chelsea;Newcastle;3;2;1
