HOME;AWAY;FTHG;FTAG;DIFF
Arsenal;Everton;2;1;1
Brentford;Newcastle;2;4;-2
Brighton;Manchester Utd;0;2;-2
Burnley;Nottingham;1;2;-1
Chelsea;Bournemouth;2;1;1
Crystal Palace;Aston Villa;5;0;5
Liverpool;Wolves;2;0;2
Luton;Fulham;2;4;-2
Manchester City;West Ham;3;1;2
Sheffield Utd;Tottenham;0;3;-3
Manchester Utd;Newcastle;3;2;1
Brighton;Chelsea;1;2;-1
Tottenham;Manchester City;0;2;-2
Aston Villa;Liverpool;3;3;0
Manchester Utd;Arsenal;0;1;-1
Nottingham;Chelsea;2;3;-1
Bournemouth;Brentford;1;2;-1
Everton;Sheffield Utd;1;0;1
Newcastle;Brighton;1;1;0
Tottenham;Burnley;2;1;1
West Ham;Luton;3;1;2
Wolves;Crystal Palace;1;3;-2
Fulham;Manchester City;0;4;-4
Crystal Palace;Manchester Utd;4;0;4
Liverpool;Tottenham;4;2;2
Brighton;Aston Villa;1;0;1
Chelsea;West Ham;5;0;5
Manchester City;Wolves;5;1;4
Brentford;Fulham;0;0;0
Burnley;Newcastle;1;4;-3
Sheffield Utd;Nottingham;1;3;-2
Arsenal;Bournemouth;3;0;3
Luton;Everton;1;1;0
Chelsea;Tottenham;2;0;2
Nottingham;Manchester City;0;2;-2
Bournemouth;Brighton;3;0;3
Tottenham;Arsenal;2;3;-1
Aston Villa;Chelsea;2;2;0
Everton;Brentford;1;0;1
Fulham;Crystal Palace;1;1;0
Manchester Utd;Burnley;1;1;0
Newcastle;Sheffield Utd;5;1;4
Wolves;Luton;2;1;1
West Ham;Liverpool;2;2;0
Brighton;Manchester City;0;4;-4
Crystal Palace;Newcastle;2;0;2
Everton;Liverpool;2;0;2
Manchester Utd;Sheffield Utd;4;2;2
Wolves;Bournemouth;0;1;-1
Arsenal;Chelsea;5;0;5
Fulham;Liverpool;1;3;-2
Aston Villa;Bournemouth;3;1;2
Crystal Palace;West Ham;5;2;3
Everton;Nottingham;2;0;2
Wolves;Arsenal;0;2;-2
Luton;Brentford;1;5;-4
Sheffield Utd;Burnley;1;4;-3
Chelsea;Everton;6;0;6
Arsenal;Aston Villa;0;2;-2
Liverpool;Crystal Palace;0;1;-1
West Ham;Fulham;0;2;-2
Bournemouth;Manchester Utd;2;2;0
Brentford;Sheffield Utd;2;0;2
Burnley;Brighton;1;1;0
Manchester City;Luton;5;1;4
Nottingham;Wolves;2;2;0
Newcastle;Tottenham;4;0;4
Tottenham;Nottingham;3;1;2
Sheffield Utd;Chelsea;2;2;0
Manchester Utd;Liverpool;2;2;0
Brighton;Arsenal;0;3;-3
Aston Villa;Brentford;3;3;0
Everton;Burnley;1;0;1
Fulham;Newcastle;0;1;-1
Luton;Bournemouth;2;1;1
Wolves;West Ham;1;2;-1
Crystal Palace;Manchester City;2;4;-2
Chelsea;Manchester Utd;4;3;1
Liverpool;Sheffield Utd;3;1;2
Manchester City;Aston Villa;4;1;3
Arsenal;Luton;2;0;2
Brentford;Brighton;0;0;0
West Ham;Tottenham;1;1;0
Bournemouth;Crystal Palace;1;0;1
Burnley;Wolves;1;1;0
Newcastle;Everton;1;1;0
Nottingham;Fulham;3;1;2
Manchester City;Arsenal;0;0;0
Liverpool;Brighton;2;1;1
Brentford;Manchester Utd;1;1;0
Aston Villa;Wolves;2;0;2
Bournemouth;Everton;2;1;1
Chelsea;Burnley;2;2;0
Nottingham;Crystal Palace;1;1;0
Sheffield Utd;Fulham;3;3;0
Tottenham;Luton;2;1;1
Newcastle;West Ham;4;3;1
West Ham;Aston Villa;1;1;0
Fulham;Tottenham;3;0;3
Burnley;Brentford;2;1;1
Luton;Nottingham;1;1;0
Bournemouth;Luton;4;3;1
Chelsea;Newcastle;3;2;1
Liverpool;Manchester City;1;1;0
Brighton;Nottingham;1;0;1
West Ham;Burnley;2;2;0
Aston Villa;Tottenham;0;4;-4
Arsenal;Brentford;2;1;1
Bournemouth;Sheffield Utd;2;2;0
Crystal Palace;Luton;1;1;0
Wolves;Fulham;2;1;1
Manchester Utd;Everton;2;0;2
Sheffield Utd;Arsenal;0;6;-6
Manchester City;Manchester Utd;3;1;2
Burnley;Bournemouth;0;2;-2
Luton;Aston Villa;2;3;-1
Brentford;Chelsea;2;2;0
Everton;West Ham;1;3;-2
Fulham;Brighton;3;0;3
Newcastle;Wolves;3;0;3
Nottingham;Liverpool;0;1;-1
Tottenham;Crystal Palace;3;1;2
West Ham;Brentford;4;2;2
Wolves;Sheffield Utd;1;0;1
Arsenal;Newcastle;4;1;3
Bournemouth;Manchester City;0;1;-1
Aston Villa;Nottingham;4;2;2
Brighton;Everton;1;1;0
Crystal Palace;Burnley;3;0;3
Manchester Utd;Fulham;1;2;-1
Liverpool;Luton;4;1;3
Manchester City;Brentford;1;0;1
Everton;Crystal Palace;1;1;0
Luton;Manchester Utd;1;2;-1
Sheffield Utd;Brighton;0;5;-5
Manchester City;Chelsea;1;1;0
Burnley;Arsenal;0;5;-5
Fulham;Aston Villa;1;2;-1
Newcastle;Bournemouth;2;2;0
Nottingham;West Ham;2;0;2
Tottenham;Wolves;1;2;-1
Brentford;Liverpool;1;4;-3
Crystal Palace;Chelsea;1;3;-2
Aston Villa;Manchester Utd;1;2;-1
West Ham;Arsenal;0;6;-6
Nottingham;Newcastle;2;3;-1
Fulham;Bournemouth;3;1;2
Liverpool;Burnley;3;1;2
Luton;Sheffield Utd;1;3;-2
Tottenham;Brighton;2;1;1
Wolves;Brentford;0;2;-2
Manchester City;Everton;2;0;2
Brentford;Manchester City;1;3;-2
Arsenal;Liverpool;3;1;2
Bournemouth;Nottingham;1;1;0
Chelsea;Wolves;2;4;-2
Manchester Utd;West Ham;3;0;3
Sheffield Utd;Aston Villa;0;5;-5
Brighton;Crystal Palace;4;1;3
Burnley;Fulham;2;2;0
Newcastle;Luton;4;4;0
Everton;Tottenham;2;2;0
Wolves;Manchester Utd;3;4;-1
West Ham;Bournemouth;1;1;0
Liverpool;Chelsea;4;1;3
Manchester City;Burnley;3;1;2
Tottenham;Brentford;3;2;1
Aston Villa;Newcastle;1;3;-2
Crystal Palace;Sheffield Utd;3;2;1
Fulham;Everton;0;0;0
Luton;Brighton;4;0;4
Nottingham;Arsenal;1;2;-1
Brighton;Wolves;0;0;0
Bournemouth;Liverpool;0;4;-4
Sheffield Utd;West Ham;2;2;0
Brentford;Nottingham;3;2;1
Arsenal;Crystal Palace;5;0;5
Manchester Utd;Tottenham;2;2;0
Everton;Aston Villa;0;0;0
Newcastle;Manchester City;2;3;-1
Chelsea;Fulham;1;0;1
Burnley;Luton;1;1;0
West Ham;Brighton;0;0;0
Liverpool;Newcastle;4;2;2
Fulham;Arsenal;2;1;1
Tottenham;Bournemouth;3;1;2
Nottingham;Manchester Utd;2;1;1
Aston Villa;Burnley;3;2;1
Crystal Palace;Brentford;3;1;2
Manchester City;Sheffield Utd;2;0;2
Wolves;Everton;3;0;3
Luton;Chelsea;2;3;-1
Arsenal;West Ham;0;2;-2
Brighton;Tottenham;4;2;2
Everton;Manchester City;1;3;-2
Brentford;Wolves;1;4;-3
Chelsea;Crystal Palace;2;1;1
Manchester Utd;Aston Villa;3;2;1
Burnley;Liverpool;0;2;-2
Bournemouth;Fulham;3;0;3
Sheffield Utd;Luton;2;3;-1
Newcastle;Nottingham;1;3;-2
Wolves;Chelsea;2;1;1
Liverpool;Arsenal;1;1;0
Fulham;Burnley;0;2;-2
Luton;Newcastle;1;0;1
Nottingham;Bournemouth;2;3;-1
Tottenham;Everton;2;1;1
West Ham;Manchester Utd;2;0;2
