DATE;HOME;AWAY;FTHG;FTAG;DIFF
27/05/2023;Coventry;Luton;1;2;-1
17/05/2023;Middlesbrough;Coventry;0;1;-1
16/05/2023;Luton;Sunderland;2;0;2
14/05/2023;Coventry;Middlesbrough;0;0;0
13/05/2023;Sunderland;Luton;2;1;1
08/05/2023;Birmingham;Sheffield Utd;1;2;-1
08/05/2023;Burnley;Cardiff;3;0;3
08/05/2023;Huddersfield;Reading;2;0;2
08/05/2023;Luton;Hull;0;0;0
08/05/2023;Middlesbrough;Coventry;1;1;0
08/05/2023;Millwall;Blackburn;3;4;-1
08/05/2023;Norwich;Blackpool;0;1;-1
08/05/2023;Preston;Sunderland;0;3;-3
08/05/2023;QPR;Bristol City;0;2;-2
08/05/2023;Swansea;West Brom;3;2;1
08/05/2023;Watford;Stoke;2;0;2
08/05/2023;Wigan;Rotherham;0;0;0
04/05/2023;Huddersfield;Sheffield Utd;1;0;1
01/05/2023;Blackburn;Luton;1;1;0
01/05/2023;Rotherham;Middlesbrough;1;0;1
30/04/2023;Cardiff;Huddersfield;1;2;-1
29/04/2023;West Brom;Norwich;2;1;1
29/04/2023;Bristol City;Burnley;1;2;-1
29/04/2023;Coventry;Birmingham;2;0;2
29/04/2023;Hull;Swansea;1;1;0
29/04/2023;Reading;Wigan;1;1;0
29/04/2023;Sheffield Utd;Preston;4;1;3
29/04/2023;Stoke;QPR;0;1;-1
29/04/2023;Sunderland;Watford;2;2;0
28/04/2023;Blackpool;Millwall;2;3;-1
27/04/2023;Rotherham;Cardiff;1;2;-1
26/04/2023;Sheffield Utd;West Brom;2;0;2
25/04/2023;Blackburn;Burnley;0;1;-1
24/04/2023;Luton;Middlesbrough;2;1;1
23/04/2023;West Brom;Sunderland;1;2;-1
22/04/2023;Preston;Blackburn;1;1;0
22/04/2023;Birmingham;Blackpool;0;1;-1
22/04/2023;Bristol City;Rotherham;2;1;1
22/04/2023;Burnley;QPR;1;2;-1
22/04/2023;Cardiff;Stoke;1;1;0
22/04/2023;Coventry;Reading;2;1;1
22/04/2023;Hull;Watford;1;0;1
22/04/2023;Norwich;Swansea;0;3;-3
22/04/2023;Wigan;Millwall;2;1;1
19/04/2023;Middlesbrough;Hull;3;1;2
19/04/2023;Reading;Luton;1;1;0
19/04/2023;Blackburn;Coventry;1;1;0
19/04/2023;QPR;Norwich;1;1;0
19/04/2023;Swansea;Preston;4;2;2
19/04/2023;Watford;Cardiff;1;3;-2
18/04/2023;Millwall;Birmingham;0;1;-1
18/04/2023;Blackpool;West Brom;0;2;-2
18/04/2023;Rotherham;Burnley;2;2;0
18/04/2023;Sheffield Utd;Bristol City;1;0;1
18/04/2023;Stoke;Wigan;0;1;-1
18/04/2023;Sunderland;Huddersfield;1;1;0
15/04/2023;Blackburn;Hull;0;0;0
15/04/2023;Blackpool;Wigan;1;0;1
15/04/2023;Millwall;Preston;2;0;2
15/04/2023;QPR;Coventry;0;3;-3
15/04/2023;Reading;Burnley;0;0;0
15/04/2023;Rotherham;Luton;0;2;-2
15/04/2023;Stoke;West Brom;1;2;-1
15/04/2023;Sunderland;Birmingham;2;1;1
15/04/2023;Swansea;Huddersfield;1;0;1
15/04/2023;Watford;Bristol City;2;0;2
15/04/2023;Sheffield Utd;Cardiff;4;1;3
14/04/2023;Middlesbrough;Norwich;5;1;4
10/04/2023;Burnley;Sheffield Utd;2;0;2
10/04/2023;Bristol City;Middlesbrough;2;2;0
10/04/2023;Birmingham;Stoke;0;0;0
10/04/2023;Cardiff;Sunderland;0;1;-1
10/04/2023;Coventry;Watford;2;2;0
10/04/2023;Hull;Millwall;1;0;1
10/04/2023;Luton;Blackpool;3;1;2
10/04/2023;Norwich;Rotherham;0;0;0
10/04/2023;Preston;Reading;2;1;1
10/04/2023;West Brom;QPR;2;2;0
10/04/2023;Wigan;Swansea;0;2;-2
10/04/2023;Huddersfield;Blackburn;2;2;0
07/04/2023;Middlesbrough;Burnley;1;2;-1
07/04/2023;Sunderland;Hull;4;4;0
07/04/2023;Blackburn;Norwich;0;2;-2
07/04/2023;Blackpool;Cardiff;1;3;-2
07/04/2023;QPR;Preston;0;2;-2
07/04/2023;Reading;Birmingham;1;1;0
07/04/2023;Sheffield Utd;Wigan;1;0;1
07/04/2023;Stoke;Bristol City;1;2;-1
07/04/2023;Swansea;Coventry;0;0;0
07/04/2023;Watford;Huddersfield;2;3;-1
07/04/2023;Rotherham;West Brom;3;1;2
07/04/2023;Millwall;Luton;0;0;0
01/04/2023;Birmingham;Blackburn;1;0;1
01/04/2023;Bristol City;Reading;1;1;0
01/04/2023;Cardiff;Swansea;2;3;-1
01/04/2023;Coventry;Stoke;0;4;-4
01/04/2023;Huddersfield;Middlesbrough;4;2;2
01/04/2023;Hull;Rotherham;0;0;0
01/04/2023;Norwich;Sheffield Utd;0;1;-1
01/04/2023;West Brom;Millwall;0;0;0
01/04/2023;Wigan;QPR;1;0;1
01/04/2023;Luton;Watford;2;0;2
01/04/2023;Preston;Blackpool;3;1;2
31/03/2023;Burnley;Sunderland;0;0;0
19/03/2023;Swansea;Bristol City;2;0;2
18/03/2023;Blackpool;Coventry;1;4;-3
18/03/2023;Middlesbrough;Preston;4;0;4
18/03/2023;Millwall;Huddersfield;0;1;-1
18/03/2023;QPR;Birmingham;0;1;-1
18/03/2023;Reading;Hull;1;1;0
18/03/2023;Stoke;Norwich;0;0;0
18/03/2023;Sunderland;Luton;1;1;0
18/03/2023;Watford;Wigan;1;1;0
15/03/2023;Sunderland;Sheffield Utd;1;2;-1
15/03/2023;Blackburn;Reading;2;1;1
15/03/2023;Cardiff;West Brom;1;1;0
15/03/2023;Huddersfield;Norwich;1;1;0
15/03/2023;Hull;Burnley;1;3;-2
15/03/2023;Luton;Bristol City;1;0;1
14/03/2023;Middlesbrough;Stoke;1;1;0
14/03/2023;Blackpool;QPR;6;1;5
14/03/2023;Millwall;Swansea;2;1;1
14/03/2023;Rotherham;Preston;1;2;-1
14/03/2023;Watford;Birmingham;3;0;3
14/03/2023;Wigan;Coventry;1;1;0
12/03/2023;Norwich;Sunderland;0;1;-1
11/03/2023;Birmingham;Rotherham;2;0;2
11/03/2023;Burnley;Wigan;3;0;3
11/03/2023;Coventry;Hull;1;1;0
11/03/2023;Preston;Cardiff;2;0;2
11/03/2023;QPR;Watford;1;0;1
11/03/2023;Reading;Millwall;0;1;-1
11/03/2023;Sheffield Utd;Luton;0;1;-1
11/03/2023;Swansea;Middlesbrough;1;3;-2
11/03/2023;West Brom;Huddersfield;1;0;1
11/03/2023;Bristol City;Blackpool;2;0;2
10/03/2023;Stoke;Blackburn;3;2;1
07/03/2023;Reading;Sheffield Utd;0;1;-1
07/03/2023;West Brom;Wigan;1;0;1
