DATE;HOME;AWAY;FTHG;FTAG;DIFF
02/06/2023;Amiens;Laval;1;2;-1
02/06/2023;Bordeaux;Rodez;0;1;-1
02/06/2023;Grenoble;Guingamp;0;2;-2
02/06/2023;Le Havre;Dijon;1;0;1
02/06/2023;Metz;Bastia;3;2;1
02/06/2023;Nimes;Sochaux;3;1;2
02/06/2023;Niort;Quevilly Rouen;3;3;0
02/06/2023;Paris FC;Annecy;1;0;1
02/06/2023;Pau FC;Caen;1;0;1
02/06/2023;St Etienne;Valenciennes;2;0;2
26/05/2023;Annecy;Bordeaux;1;0;1
26/05/2023;Bastia;Le Havre;1;1;0
26/05/2023;Caen;St Etienne;2;2;0
26/05/2023;Dijon;Paris FC;1;1;0
26/05/2023;Guingamp;Niort;2;0;2
26/05/2023;Laval;Nimes;2;0;2
26/05/2023;Quevilly Rouen;Amiens;1;3;-2
26/05/2023;Rodez;Pau FC;2;3;-1
26/05/2023;Sochaux;Metz;0;1;-1
26/05/2023;Valenciennes;Grenoble;1;0;1
22/05/2023;Le Havre;Valenciennes;0;2;-2
20/05/2023;Amiens;Caen;1;3;-2
20/05/2023;Guingamp;Metz;1;1;0
20/05/2023;Nimes;Dijon;1;2;-1
20/05/2023;Niort;Annecy;2;2;0
20/05/2023;Paris FC;Sochaux;2;1;1
20/05/2023;Pau FC;Bastia;2;6;-4
20/05/2023;St Etienne;Quevilly Rouen;4;2;2
20/05/2023;Bordeaux;Laval;3;0;3
19/05/2023;Grenoble;Rodez;1;1;0
15/05/2023;Annecy;Le Havre;1;0;1
13/05/2023;Bastia;Niort;2;1;1
13/05/2023;Caen;Nimes;4;2;2
13/05/2023;Dijon;Amiens;3;0;3
13/05/2023;Laval;St Etienne;2;1;1
13/05/2023;Metz;Grenoble;1;0;1
13/05/2023;Rodez;Paris FC;0;0;0
13/05/2023;Sochaux;Guingamp;0;1;-1
13/05/2023;Valenciennes;Pau FC;1;1;0
13/05/2023;Quevilly Rouen;Bordeaux;0;0;0
08/05/2023;Le Havre;Rodez;1;0;1
06/05/2023;Amiens;Sochaux;1;0;1
06/05/2023;Annecy;Dijon;1;1;0
06/05/2023;Laval;Bastia;2;1;1
06/05/2023;Nimes;Valenciennes;3;3;0
06/05/2023;Niort;Metz;1;3;-2
06/05/2023;Paris FC;Grenoble;1;0;1
06/05/2023;Pau FC;Quevilly Rouen;3;4;-1
06/05/2023;St Etienne;Guingamp;3;2;1
06/05/2023;Bordeaux;Caen;1;0;1
01/05/2023;Sochaux;Dijon;0;2;-2
29/04/2023;Bastia;Amiens;1;1;0
29/04/2023;Grenoble;Niort;2;0;2
29/04/2023;Guingamp;Laval;3;1;2
29/04/2023;Metz;Paris FC;1;1;0
29/04/2023;Nimes;Pau FC;3;2;1
