DATE;HOME;AWAY;FTHG;FTAG;DIFF
28/05/2024;Wehen;Regensburg;1;2;-1
24/05/2024;Regensburg;Wehen;2;2;0
19/05/2024;Dusseldorf;Magdeburg;3;2;1
19/05/2024;Elversberg;Karlsruher SC;0;3;-3
19/05/2024;Greuther Furth;Schalke;2;0;2
19/05/2024;Hamburger SV;Nurnberg;4;1;3
19/05/2024;Hannover;Holstein Kiel;1;2;-1
19/05/2024;Hansa Rostock;Paderborn;1;2;-1
19/05/2024;Kaiserslautern;Braunschweig;5;0;5
19/05/2024;VfL Osnabruck;Hertha Berlin;2;1;1
19/05/2024;Wehen;St. Pauli;1;2;-1
12/05/2024;Braunschweig;Wehen;1;0;1
12/05/2024;Karlsruher SC;Hannover;1;2;-1
12/05/2024;St. Pauli;VfL Osnabruck;3;1;2
11/05/2024;Holstein Kiel;Dusseldorf;1;1;0
11/05/2024;Hertha Berlin;Kaiserslautern;3;1;2
11/05/2024;Nurnberg;Elversberg;3;0;3
11/05/2024;Schalke;Hansa Rostock;2;1;1
10/05/2024;Magdeburg;Greuther Furth;0;0;0
10/05/2024;Paderborn;Hamburger SV;1;0;1
07/05/2024;VfL Osnabruck;Schalke;0;4;-4
05/05/2024;Elversberg;Hertha Berlin;4;2;2
05/05/2024;Hannover;Paderborn;3;2;1
05/05/2024;Wehen;Holstein Kiel;0;1;-1
04/05/2024;Kaiserslautern;Magdeburg;4;1;3
04/05/2024;Greuther Furth;Braunschweig;3;3;0
04/05/2024;Hansa Rostock;Karlsruher SC;1;2;-1
03/05/2024;Dusseldorf;Nurnberg;3;1;2
03/05/2024;Hamburger SV;St. Pauli;1;0;1
28/04/2024;Magdeburg;VfL Osnabruck;1;1;0
28/04/2024;Nurnberg;Karlsruher SC;0;1;-1
28/04/2024;Wehen;Greuther Furth;3;5;-2
27/04/2024;Schalke;Dusseldorf;1;1;0
27/04/2024;Braunschweig;Hamburger SV;0;4;-4
27/04/2024;Holstein Kiel;Kaiserslautern;1;3;-2
27/04/2024;Paderborn;Elversberg;3;1;2
26/04/2024;Hertha Berlin;Hannover;1;1;0
26/04/2024;St. Pauli;Hansa Rostock;1;0;1
21/04/2024;Hannover;St. Pauli;1;2;-1
21/04/2024;Hansa Rostock;Magdeburg;0;2;-2
21/04/2024;Karlsruher SC;Hertha Berlin;3;2;1
20/04/2024;Hamburger SV;Holstein Kiel;0;1;-1
20/04/2024;Dusseldorf;Greuther Furth;1;0;1
20/04/2024;Kaiserslautern;Wehen;1;1;0
20/04/2024;VfL Osnabruck;Braunschweig;0;3;-3
19/04/2024;Elversberg;Schalke;1;1;0
19/04/2024;Nurnberg;Paderborn;0;2;-2
14/04/2024;Braunschweig;Hannover;0;0;0
14/04/2024;Magdeburg;Hamburger SV;2;2;0
14/04/2024;St. Pauli;Elversberg;3;4;-1
13/04/2024;Schalke;Nurnberg;2;0;2
13/04/2024;Holstein Kiel;VfL Osnabruck;4;0;4
13/04/2024;Paderborn;Karlsruher SC;1;1;0
13/04/2024;Wehen;Dusseldorf;0;2;-2
12/04/2024;Greuther Furth;Kaiserslautern;2;1;1
12/04/2024;Hertha Berlin;Hansa Rostock;4;0;4
07/04/2024;Dusseldorf;Braunschweig;2;0;2
07/04/2024;Hannover;Schalke;1;1;0
07/04/2024;VfL Osnabruck;Greuther Furth;2;0;2
06/04/2024;Karlsruher SC;St. Pauli;2;1;1
06/04/2024;Elversberg;Magdeburg;0;0;0
06/04/2024;Hamburger SV;Kaiserslautern;2;1;1
06/04/2024;Nurnberg;Holstein Kiel;0;4;-4
05/04/2024;Hansa Rostock;Wehen;3;1;2
05/04/2024;Paderborn;Hertha Berlin;2;3;-1
31/03/2024;Greuther Furth;Hamburger SV;1;1;0
31/03/2024;Magdeburg;Hannover;0;3;-3
31/03/2024;Schalke;Karlsruher SC;0;0;0
31/03/2024;St. Pauli;Paderborn;2;1;1
31/03/2024;Wehen;VfL Osnabruck;0;1;-1
30/03/2024;Hertha Berlin;Nurnberg;3;3;0
30/03/2024;Braunschweig;Elversberg;5;0;5
30/03/2024;Holstein Kiel;Hansa Rostock;2;0;2
30/03/2024;Kaiserslautern;Dusseldorf;1;3;-2
17/03/2024;Hamburger SV;Wehen;3;0;3
17/03/2024;Hertha Berlin;Schalke;5;2;3
17/03/2024;Karlsruher SC;Magdeburg;7;0;7
16/03/2024;Hannover;Kaiserslautern;1;1;0
16/03/2024;Elversberg;Holstein Kiel;0;2;-2
16/03/2024;Hansa Rostock;Greuther Furth;1;0;1
16/03/2024;Nurnberg;St. Pauli;0;2;-2
15/03/2024;Paderborn;Braunschweig;1;2;-1
15/03/2024;VfL Osnabruck;Dusseldorf;0;4;-4
10/03/2024;Greuther Furth;Elversberg;1;4;-3
10/03/2024;Kaiserslautern;VfL Osnabruck;3;2;1
10/03/2024;St. Pauli;Hertha Berlin;2;0;2
09/03/2024;Magdeburg;Nurnberg;0;1;-1
09/03/2024;Holstein Kiel;Karlsruher SC;1;0;1
09/03/2024;Schalke;Paderborn;3;3;0
09/03/2024;Wehen;Hannover;1;1;0
08/03/2024;Braunschweig;Hansa Rostock;0;1;-1
08/03/2024;Dusseldorf;Hamburger SV;2;0;2
03/03/2024;Elversberg;Wehen;0;3;-3
03/03/2024;Hamburger SV;VfL Osnabruck;1;2;-1
03/03/2024;Paderborn;Magdeburg;0;0;0
02/03/2024;Karlsruher SC;Greuther Furth;4;0;4
02/03/2024;Hannover;Dusseldorf;2;2;0
02/03/2024;Hansa Rostock;Kaiserslautern;0;3;-3
02/03/2024;Nurnberg;Braunschweig;2;1;1
01/03/2024;Hertha Berlin;Holstein Kiel;2;2;0
01/03/2024;Schalke;St. Pauli;3;1;2
25/02/2024;Dusseldorf;Hansa Rostock;2;0;2
25/02/2024;Greuther Furth;Nurnberg;2;1;1
25/02/2024;Hamburger SV;Elversberg;1;0;1
24/02/2024;Magdeburg;Schalke;3;0;3
24/02/2024;Braunschweig;Hertha Berlin;1;1;0
24/02/2024;Kaiserslautern;Karlsruher SC;0;4;-4
24/02/2024;VfL Osnabruck;Hannover;1;0;1
23/02/2024;Holstein Kiel;St. Pauli;3;4;-1
23/02/2024;Wehen;Paderborn;1;2;-1
18/02/2024;Elversberg;VfL Osnabruck;3;1;2
18/02/2024;Nurnberg;Kaiserslautern;1;1;0
18/02/2024;St. Pauli;Braunschweig;1;0;1
17/02/2024;Karlsruher SC;Dusseldorf;2;2;0
17/02/2024;Hansa Rostock;Hamburger SV;2;2;0
17/02/2024;Paderborn;Holstein Kiel;0;4;-4
17/02/2024;Schalke;Wehen;1;0;1
16/02/2024;Hannover;Greuther Furth;2;1;1
16/02/2024;Hertha Berlin;Magdeburg;3;2;1
11/02/2024;Greuther Furth;Hertha Berlin;1;2;-1
11/02/2024;Holstein Kiel;Schalke;1;0;1
11/02/2024;VfL Osnabruck;Hansa Rostock;0;0;0
10/02/2024;Kaiserslautern;Paderborn;1;2;-1
10/02/2024;Braunschweig;Karlsruher SC;2;0;2
10/02/2024;Dusseldorf;Elversberg;1;1;0
10/02/2024;Magdeburg;St. Pauli;1;0;1
09/02/2024;Hamburger SV;Hannover;3;4;-1
09/02/2024;Wehen;Nurnberg;1;1;0
04/02/2024;Elversberg;Kaiserslautern;2;1;1
04/02/2024;Hannover;Hansa Rostock;2;1;1
04/02/2024;Paderborn;Dusseldorf;4;3;1
03/02/2024;Hertha Berlin;Hamburger SV;1;2;-1
03/02/2024;Nurnberg;VfL Osnabruck;2;2;0
03/02/2024;Schalke;Braunschweig;1;0;1
03/02/2024;St. Pauli;Greuther Furth;3;2;1
02/02/2024;Karlsruher SC;Wehen;2;2;0
02/02/2024;Magdeburg;Holstein Kiel;1;1;0
28/01/2024;Braunschweig;Magdeburg;1;0;1
28/01/2024;Greuther Furth;Holstein Kiel;2;1;1
28/01/2024;Hamburger SV;Karlsruher SC;3;4;-1
27/01/2024;Dusseldorf;St. Pauli;1;2;-1
27/01/2024;Hansa Rostock;Elversberg;2;1;1
27/01/2024;VfL Osnabruck;Paderborn;0;0;0
27/01/2024;Wehen;Hertha Berlin;3;1;2
26/01/2024;Hannover;Nurnberg;3;0;3
26/01/2024;Kaiserslautern;Schalke;4;1;3
21/01/2024;Hertha Berlin;Dusseldorf;2;2;0
21/01/2024;Magdeburg;Wehen;1;0;1
21/01/2024;Paderborn;Greuther Furth;0;1;-1
20/01/2024;Schalke;Hamburger SV;0;2;-2
20/01/2024;Elversberg;Hannover;2;2;0
20/01/2024;Nurnberg;Hansa Rostock;3;0;3
20/01/2024;St. Pauli;Kaiserslautern;2;0;2
19/01/2024;Holstein Kiel;Braunschweig;1;2;-1
19/01/2024;Karlsruher SC;VfL Osnabruck;2;1;1
17/12/2023;Braunschweig;Kaiserslautern;2;1;1
17/12/2023;Karlsruher SC;Elversberg;3;2;1
17/12/2023;St. Pauli;Wehen;1;1;0
16/12/2023;Holstein Kiel;Hannover;3;0;3
16/12/2023;Hertha Berlin;VfL Osnabruck;0;0;0
16/12/2023;Magdeburg;Dusseldorf;2;3;-1
16/12/2023;Nurnberg;Hamburger SV;0;2;-2
15/12/2023;Paderborn;Hansa Rostock;3;0;3
15/12/2023;Schalke;Greuther Furth;2;2;0
10/12/2023;Dusseldorf;Holstein Kiel;0;1;-1
10/12/2023;Elversberg;Nurnberg;0;1;-1
10/12/2023;Hansa Rostock;Schalke;0;2;-2
09/12/2023;VfL Osnabruck;St. Pauli;1;1;0
09/12/2023;Greuther Furth;Magdeburg;1;1;0
09/12/2023;Hamburger SV;Paderborn;1;2;-1
