DATE;HOME;AWAY;FTHG;FTAG;DIFF
27/05/2024;Dusseldorf;Bochum;0;4;-4
23/05/2024;Bochum;Dusseldorf;0;3;-3
18/05/2024;Bayer Leverkusen;Augsburg;2;1;1
18/05/2024;Dortmund;Darmstadt;4;0;4
18/05/2024;Eintracht Frankfurt;RB Leipzig;2;2;0
18/05/2024;Heidenheim;FC Koln;4;1;3
18/05/2024;Hoffenheim;Bayern Munich;4;2;2
18/05/2024;Stuttgart;B. Monchengladbach;4;0;4
18/05/2024;Union Berlin;Freiburg;2;1;1
18/05/2024;Werder Bremen;Bochum;4;1;3
18/05/2024;Wolfsburg;Mainz;1;3;-2
12/05/2024;Bochum;Bayer Leverkusen;0;5;-5
12/05/2024;Bayern Munich;Wolfsburg;2;0;2
12/05/2024;Darmstadt;Hoffenheim;0;6;-6
11/05/2024;Mainz;Dortmund;3;0;3
11/05/2024;B. Monchengladbach;Eintracht Frankfurt;1;1;0
11/05/2024;FC Koln;Union Berlin;3;2;1
11/05/2024;Freiburg;Heidenheim;1;1;0
11/05/2024;RB Leipzig;Werder Bremen;1;1;0
10/05/2024;Augsburg;Stuttgart;0;1;-1
05/05/2024;Heidenheim;Mainz;1;1;0
05/05/2024;Eintracht Frankfurt;Bayer Leverkusen;1;5;-4
05/05/2024;Union Berlin;Bochum;3;4;-1
04/05/2024;FC Koln;Freiburg;0;0;0
04/05/2024;Dortmund;Augsburg;5;1;4
04/05/2024;Stuttgart;Bayern Munich;3;1;2
04/05/2024;Werder Bremen;B. Monchengladbach;2;2;0
04/05/2024;Wolfsburg;Darmstadt;3;0;3
03/05/2024;Hoffenheim;RB Leipzig;1;1;0
28/04/2024;Darmstadt;Heidenheim;0;1;-1
28/04/2024;Mainz;FC Koln;1;1;0
28/04/2024;B. Monchengladbach;Union Berlin;0;0;0
27/04/2024;Bayer Leverkusen;Stuttgart;2;2;0
27/04/2024;Augsburg;Werder Bremen;0;3;-3
27/04/2024;Bayern Munich;Eintracht Frankfurt;2;1;1
27/04/2024;Freiburg;Wolfsburg;1;2;-1
27/04/2024;RB Leipzig;Dortmund;4;1;3
26/04/2024;Bochum;Hoffenheim;3;2;1
21/04/2024;Freiburg;Mainz;1;1;0
21/04/2024;Dortmund;Bayer Leverkusen;1;1;0
21/04/2024;Werder Bremen;Stuttgart;2;1;1
20/04/2024;Union Berlin;Bayern Munich;1;5;-4
20/04/2024;FC Koln;Darmstadt;0;2;-2
