DATE;HOME;AWAY;FTHG;FTAG;DIFF
02/06/2024;Atalanta;Fiorentina;2;3;-1
26/05/2024;Empoli;AS Roma;2;1;1
26/05/2024;Frosinone;Udinese;0;1;-1
26/05/2024;Lazio;Sassuolo;1;1;0
26/05/2024;Verona;Inter;2;2;0
26/05/2024;Atalanta;Torino;3;0;3
26/05/2024;Napoli;Lecce;0;0;0
25/05/2024;AC Milan;Salernitana;3;3;0
25/05/2024;Juventus;Monza;2;0;2
24/05/2024;Genoa;Bologna;2;0;2
23/05/2024;Cagliari;Fiorentina;2;3;-1
20/05/2024;Bologna;Juventus;3;3;0
20/05/2024;Salernitana;Verona;1;2;-1
19/05/2024;AS Roma;Genoa;1;0;1
19/05/2024;Inter;Lazio;1;1;0
19/05/2024;Monza;Frosinone;0;1;-1
19/05/2024;Udinese;Empoli;1;1;0
19/05/2024;Sassuolo;Cagliari;0;2;-2
18/05/2024;Torino;AC Milan;3;1;2
18/05/2024;Lecce;Atalanta;0;2;-2
17/05/2024;Fiorentina;Napoli;2;2;0
13/05/2024;Fiorentina;Monza;2;1;1
13/05/2024;Lecce;Udinese;0;2;-2
12/05/2024;Atalanta;AS Roma;2;1;1
12/05/2024;Juventus;Salernitana;1;1;0
12/05/2024;Genoa;Sassuolo;2;1;1
12/05/2024;Verona;Torino;1;2;-1
12/05/2024;Lazio;Empoli;2;0;2
11/05/2024;AC Milan;Cagliari;5;1;4
11/05/2024;Napoli;Bologna;0;2;-2
10/05/2024;Frosinone;Inter;0;5;-5
06/05/2024;Udinese;Napoli;1;1;0
06/05/2024;Salernitana;Atalanta;1;2;-1
05/05/2024;AS Roma;Juventus;1;1;0
05/05/2024;AC Milan;Genoa;3;3;0
05/05/2024;Empoli;Frosinone;0;0;0
05/05/2024;Verona;Fiorentina;2;1;1
05/05/2024;Cagliari;Lecce;1;1;0
04/05/2024;Sassuolo;Inter;1;0;1
04/05/2024;Monza;Lazio;2;2;0
03/05/2024;Torino;Bologna;0;0;0
29/04/2024;Genoa;Cagliari;3;0;3
28/04/2024;Fiorentina;Sassuolo;5;1;4
28/04/2024;Atalanta;Empoli;2;0;2
28/04/2024;Napoli;AS Roma;2;2;0
28/04/2024;Bologna;Udinese;1;1;0
28/04/2024;Inter;Torino;2;0;2
27/04/2024;Lazio;Verona;1;0;1
27/04/2024;Juventus;AC Milan;0;0;0
27/04/2024;Lecce;Monza;1;1;0
26/04/2024;Frosinone;Salernitana;3;0;3
25/04/2024;Udinese;AS Roma;1;2;-1
22/04/2024;AC Milan;Inter;1;2;-1
22/04/2024;AS Roma;Bologna;1;3;-2
21/04/2024;Monza;Atalanta;1;2;-1
21/04/2024;Salernitana;Fiorentina;0;2;-2
21/04/2024;Torino;Frosinone;0;0;0
21/04/2024;Sassuolo;Lecce;0;3;-3
20/04/2024;Verona;Udinese;1;0;1
20/04/2024;Empoli;Napoli;1;0;1
19/04/2024;Cagliari;Juventus;2;2;0
19/04/2024;Genoa;Lazio;0;1;-1
15/04/2024;Atalanta;Verona;2;2;0
15/04/2024;Fiorentina;Genoa;1;1;0
14/04/2024;Inter;Cagliari;2;2;0
14/04/2024;Sassuolo;AC Milan;3;3;0
14/04/2024;Napoli;Frosinone;2;2;0
13/04/2024;Bologna;Monza;0;0;0
13/04/2024;Torino;Juventus;0;0;0
13/04/2024;Lecce;Empoli;1;0;1
12/04/2024;Lazio;Salernitana;4;1;3
08/04/2024;Udinese;Inter;1;2;-1
07/04/2024;Juventus;Fiorentina;1;0;1
07/04/2024;Cagliari;Atalanta;2;1;1
07/04/2024;Verona;Genoa;1;2;-1
07/04/2024;Monza;Napoli;2;4;-2
07/04/2024;Frosinone;Bologna;0;0;0
06/04/2024;Empoli;Torino;3;2;1
06/04/2024;AS Roma;Lazio;1;0;1
06/04/2024;AC Milan;Lecce;3;0;3
05/04/2024;Salernitana;Sassuolo;2;2;0
01/04/2024;Inter;Empoli;2;0;2
01/04/2024;Lecce;AS Roma;0;0;0
01/04/2024;Cagliari;Verona;1;1;0
01/04/2024;Sassuolo;Udinese;1;1;0
01/04/2024;Bologna;Salernitana;3;0;3
30/03/2024;Fiorentina;AC Milan;1;2;-1
30/03/2024;Lazio;Juventus;1;0;1
30/03/2024;Genoa;Frosinone;1;1;0
30/03/2024;Torino;Monza;1;0;1
30/03/2024;Napoli;Atalanta;0;3;-3
17/03/2024;Inter;Napoli;1;1;0
17/03/2024;AS Roma;Sassuolo;1;0;1
17/03/2024;Verona;AC Milan;1;3;-2
17/03/2024;Juventus;Genoa;0;0;0
16/03/2024;Frosinone;Lazio;2;3;-1
16/03/2024;Salernitana;Lecce;0;1;-1
16/03/2024;Monza;Cagliari;1;0;1
16/03/2024;Udinese;Torino;0;2;-2
15/03/2024;Empoli;Bologna;0;1;-1
11/03/2024;Lazio;Udinese;1;2;-1
10/03/2024;Fiorentina;AS Roma;2;2;0
10/03/2024;Juventus;Atalanta;2;2;0
10/03/2024;AC Milan;Empoli;1;0;1
10/03/2024;Lecce;Verona;0;1;-1
09/03/2024;Genoa;Monza;2;3;-1
09/03/2024;Bologna;Inter;0;1;-1
09/03/2024;Cagliari;Salernitana;4;2;2
09/03/2024;Sassuolo;Frosinone;1;0;1
08/03/2024;Napoli;Torino;1;1;0
04/03/2024;Inter;Genoa;2;1;1
03/03/2024;Napoli;Juventus;2;1;1
03/03/2024;Atalanta;Bologna;1;2;-1
03/03/2024;Empoli;Cagliari;0;1;-1
03/03/2024;Frosinone;Lecce;1;1;0
03/03/2024;Verona;Sassuolo;1;0;1
02/03/2024;Torino;Fiorentina;0;0;0
02/03/2024;Monza;AS Roma;1;4;-3
02/03/2024;Udinese;Salernitana;1;1;0
01/03/2024;Lazio;AC Milan;0;1;-1
28/02/2024;Inter;Atalanta;4;0;4
28/02/2024;Sassuolo;Napoli;1;6;-5
26/02/2024;Fiorentina;Lazio;2;1;1
26/02/2024;AS Roma;Torino;3;2;1
25/02/2024;AC Milan;Atalanta;1;1;0
25/02/2024;Lecce;Inter;0;4;-4
25/02/2024;Cagliari;Napoli;1;1;0
25/02/2024;Juventus;Frosinone;3;2;1
24/02/2024;Genoa;Udinese;2;0;2
24/02/2024;Salernitana;Monza;0;2;-2
24/02/2024;Sassuolo;Empoli;2;3;-1
23/02/2024;Bologna;Verona;2;0;2
22/02/2024;Torino;Lazio;0;2;-2
18/02/2024;Monza;AC Milan;4;2;2
18/02/2024;Frosinone;AS Roma;0;3;-3
18/02/2024;Empoli;Fiorentina;1;1;0
18/02/2024;Udinese;Cagliari;1;1;0
18/02/2024;Lazio;Bologna;1;2;-1
17/02/2024;Atalanta;Sassuolo;3;0;3
17/02/2024;Verona;Juventus;2;2;0
17/02/2024;Napoli;Genoa;1;1;0
16/02/2024;Inter;Salernitana;4;0;4
16/02/2024;Torino;Lecce;2;0;2
14/02/2024;Bologna;Fiorentina;2;0;2
