DATE;HOME;AWAY;FTHG;FTAG;DIFF
11/06/2023;Bari;Cagliari;0;1;-1
08/06/2023;Cagliari;Bari;1;1;0
03/06/2023;Parma;Cagliari;0;0;0
02/06/2023;Bari;Sudtirol;1;0;1
01/06/2023;Brescia;Cosenza;0;3;-3
30/05/2023;Cagliari;Parma;3;2;1
29/05/2023;Sudtirol;Bari;1;0;1
27/05/2023;Cagliari;Venezia;2;1;1
26/05/2023;Sudtirol;Reggio Calabria;1;0;1
25/05/2023;Cosenza;Brescia;1;0;1
19/05/2023;Cittadella;Como;0;0;0
19/05/2023;Cosenza;Cagliari;0;1;-1
19/05/2023;Genoa;Bari;4;3;1
19/05/2023;Modena;Sudtirol;2;1;1
19/05/2023;Palermo;Brescia;2;2;0
19/05/2023;Parma;Venezia;2;1;1
19/05/2023;Perugia;Benevento;3;2;1
19/05/2023;Pisa;Spal;1;2;-1
19/05/2023;Reggio Calabria;Ascoli;1;0;1
19/05/2023;Ternana;Frosinone;2;3;-1
13/05/2023;Frosinone;Genoa;3;2;1
13/05/2023;Ascoli;Cosenza;1;1;0
13/05/2023;Bari;Reggio Calabria;1;0;1
13/05/2023;Benevento;Modena;2;1;1
13/05/2023;Brescia;Pisa;1;1;0
13/05/2023;Cagliari;Palermo;2;1;1
13/05/2023;Como;Ternana;3;1;2
13/05/2023;Spal;Parma;0;1;-1
13/05/2023;Sudtirol;Cittadella;1;1;0
13/05/2023;Venezia;Perugia;3;2;1
07/05/2023;Parma;Brescia;2;0;2
06/05/2023;Palermo;Spal;2;1;1
06/05/2023;Cittadella;Benevento;3;1;2
06/05/2023;Cosenza;Venezia;1;1;0
06/05/2023;Genoa;Ascoli;2;1;1
06/05/2023;Modena;Bari;1;1;0
06/05/2023;Pisa;Frosinone;1;3;-2
06/05/2023;Reggio Calabria;Como;2;1;1
06/05/2023;Ternana;Sudtirol;0;1;-1
05/05/2023;Perugia;Cagliari;0;5;-5
01/05/2023;Frosinone;Reggio Calabria;3;1;2
01/05/2023;Venezia;Modena;5;0;5
01/05/2023;Ascoli;Pisa;2;1;1
01/05/2023;Bari;Cittadella;1;1;0
01/05/2023;Benevento;Parma;2;2;0
01/05/2023;Brescia;Cosenza;2;1;1
01/05/2023;Sudtirol;Genoa;0;0;0
01/05/2023;Como;Palermo;1;1;0
30/04/2023;Cagliari;Ternana;2;1;1
30/04/2023;Spal;Perugia;1;1;0
23/04/2023;Pisa;Bari;1;2;-1
23/04/2023;Ternana;Venezia;1;4;-3
22/04/2023;Palermo;Benevento;1;1;0
22/04/2023;Cittadella;Genoa;0;1;-1
22/04/2023;Como;Ascoli;1;1;0
22/04/2023;Frosinone;Sudtirol;0;0;0
22/04/2023;Modena;Spal;0;0;0
22/04/2023;Parma;Cagliari;2;1;1
22/04/2023;Perugia;Cosenza;0;0;0
21/04/2023;Reggio Calabria;Brescia;1;2;-1
