HOME;AWAY;FTHG;FTAG;DIFF
Gwangju FC;Jeju Utd;2;1;1
Incheon;Gangwon;0;1;-1
Pohang;Ulsan HD;2;1;1
Daejeon;Suwon FC;0;2;-2
Jeonbuk;Seoul;1;5;-4
Gimcheon Sangmu;Daegu;2;0;2
Jeju Utd;Incheon;1;0;1
Jeonbuk;Pohang;1;1;0
Seoul;Gangwon;2;0;2
Ulsan HD;Daegu;1;0;1
Gimcheon Sangmu;Daejeon;2;0;2
Suwon FC;Gwangju FC;1;0;1
Incheon;Pohang;1;3;-2
Jeju Utd;Ulsan HD;2;3;-1
Seoul;Suwon FC;3;0;3
Daejeon;Gwangju FC;2;1;1
Gangwon;Gimcheon Sangmu;2;3;-1
Daegu;Jeonbuk;3;0;3
Daegu;Jeju Utd;1;0;1
Jeonbuk;Incheon;2;2;0
Ulsan HD;Seoul;2;2;0
Gangwon;Suwon FC;3;1;2
Gwangju FC;Gimcheon Sangmu;2;0;2
Pohang;Daejeon;1;1;0
Seoul;Gwangju FC;1;2;-1
Daejeon;Daegu;1;0;1
Jeju Utd;Gangwon;1;2;-1
Gimcheon Sangmu;Pohang;3;1;2
Suwon FC;Incheon;3;1;2
Ulsan HD;Jeonbuk;1;0;1
Daejeon;Jeju Utd;0;1;-1
Gangwon;Jeonbuk;2;1;1
Incheon;Ulsan HD;1;1;0
Suwon FC;Daegu;2;0;2
Gimcheon Sangmu;Seoul;0;0;0
Gwangju FC;Pohang;0;1;-1
Jeju Utd;Suwon FC;1;0;1
Daegu;Gangwon;1;2;-1
Incheon;Gwangju FC;1;1;0
Pohang;Seoul;2;2;0
Ulsan HD;Daejeon;4;1;3
Jeonbuk;Gimcheon Sangmu;0;0;0
Suwon FC;Pohang;1;0;1
Gangwon;Ulsan HD;1;0;1
Gwangju FC;Jeonbuk;0;3;-3
Seoul;Daegu;1;2;-1
Gimcheon Sangmu;Jeju Utd;1;0;1
Daejeon;Incheon;0;1;-1
Gwangju FC;Ulsan HD;2;1;1
Pohang;Jeju Utd;1;1;0
Ulsan HD;Gimcheon Sangmu;2;2;0
Jeonbuk;Suwon FC;2;3;-1
Daegu;Gwangju FC;3;2;1
Gangwon;Daejeon;3;3;0
Incheon;Seoul;1;2;-1
Gwangju FC;Daejeon;2;1;1
Jeju Utd;Daegu;1;0;1
Gimcheon Sangmu;Incheon;2;2;0
Suwon FC;Gangwon;1;2;-1
Pohang;Jeonbuk;1;0;1
Seoul;Ulsan HD;0;1;-1
Daegu;Ulsan HD;1;2;-1
Gangwon;Pohang;2;4;-2
Incheon;Jeonbuk;3;0;3
Jeju Utd;Gwangju FC;1;3;-2
Daejeon;Gimcheon Sangmu;0;0;0
Suwon FC;Seoul;0;2;-2
Ulsan HD;Jeju Utd;3;1;2
Jeonbuk;Daegu;2;2;0
Pohang;Incheon;0;0;0
Gimcheon Sangmu;Gangwon;1;0;1
Gwangju FC;Suwon FC;1;2;-1
Daejeon;Seoul;3;1;2
Daegu;Daejeon;0;0;0
Gangwon;Incheon;4;1;3
Pohang;Gimcheon Sangmu;0;0;0
Seoul;Jeonbuk;2;3;-1
Suwon FC;Jeju Utd;2;1;1
Incheon;Daegu;1;1;0
Suwon FC;Daejeon;1;0;1
Jeju Utd;Gimcheon Sangmu;0;2;-2
Ulsan HD;Gangwon;4;0;4
Jeonbuk;Gwangju FC;2;1;1
Seoul;Pohang;2;4;-2
Daejeon;Pohang;1;2;-1
Daegu;Seoul;0;0;0
Jeonbuk;Gangwon;2;3;-1
Gimcheon Sangmu;Gwangju FC;2;1;1
Incheon;Jeju Utd;0;1;-1
Ulsan HD;Suwon FC;3;0;3
Gangwon;Daegu;3;0;3
Gwangju FC;Incheon;2;3;-1
Jeju Utd;Jeonbuk;2;0;2
Seoul;Gimcheon Sangmu;5;1;4
Daejeon;Ulsan HD;2;0;2
Pohang;Suwon FC;1;1;0
Gwangju FC;Daegu;1;2;-1
Gangwon;Seoul;1;1;0
Jeju Utd;Pohang;0;2;-2
Suwon FC;Gimcheon Sangmu;1;4;-3
Incheon;Daejeon;2;0;2
Jeonbuk;Ulsan HD;2;2;0
Ulsan HD;Incheon;3;3;0
Gimcheon Sangmu;Jeonbuk;1;0;1
Pohang;Gwangju FC;1;0;1
