DATE;HOME;AWAY;FTHG;FTAG;DIFF
19/05/2023;Almere City;Maastricht;1;0;1
19/05/2023;De Graafschap;Den Bosch;3;0;3
19/05/2023;Dordrecht;Oss;2;2;0
19/05/2023;Helmond;Zwolle;2;3;-1
19/05/2023;Heracles;Jong Ajax;2;0;2
19/05/2023;Jong AZ;Den Haag;0;2;-2
19/05/2023;Jong PSV;Eindhoven FC;1;1;0
19/05/2023;Jong Utrecht;Venlo;1;1;0
19/05/2023;Roda;Willem II;2;2;0
19/05/2023;Telstar;NAC Breda;2;1;1
12/05/2023;Den Bosch;Almere City;2;2;0
12/05/2023;Den Haag;Dordrecht;2;2;0
12/05/2023;Eindhoven FC;Helmond;0;1;-1
12/05/2023;Jong Ajax;Jong AZ;1;2;-1
12/05/2023;Maastricht;Telstar;2;1;1
12/05/2023;NAC Breda;Heracles;0;3;-3
12/05/2023;Oss;Jong PSV;1;0;1
12/05/2023;Venlo;De Graafschap;2;1;1
12/05/2023;Willem II;Jong Utrecht;3;0;3
12/05/2023;Zwolle;Roda;3;1;2
08/05/2023;Jong Ajax;Den Haag;4;2;2
08/05/2023;Jong AZ;Oss;1;1;0
08/05/2023;Jong PSV;Zwolle;3;1;2
08/05/2023;Jong Utrecht;Den Bosch;0;0;0
07/05/2023;Almere City;NAC Breda;0;2;-2
05/05/2023;De Graafschap;Maastricht;2;1;1
05/05/2023;Dordrecht;Heracles;1;3;-2
05/05/2023;Helmond;Venlo;1;1;0
05/05/2023;Roda;Eindhoven FC;1;2;-1
05/05/2023;Telstar;Willem II;0;0;0
29/04/2023;Willem II;De Graafschap;3;2;1
29/04/2023;NAC Breda;Roda;4;2;2
28/04/2023;Den Bosch;Telstar;0;1;-1
28/04/2023;Den Haag;Helmond;2;2;0
28/04/2023;Eindhoven FC;Jong Utrecht;2;0;2
28/04/2023;Heracles;Jong PSV;3;0;3
28/04/2023;Maastricht;Jong AZ;1;3;-2
28/04/2023;Oss;Almere City;0;5;-5
28/04/2023;Venlo;Jong Ajax;0;1;-1
28/04/2023;Zwolle;Dordrecht;4;0;4
25/04/2023;NAC Breda;Willem II;1;1;0
24/04/2023;Jong PSV;Maastricht;0;1;-1
24/04/2023;Jong Utrecht;Jong Ajax;1;0;1
21/04/2023;Almere City;Zwolle;1;1;0
21/04/2023;De Graafschap;Den Haag;0;1;-1
21/04/2023;Dordrecht;Jong AZ;1;0;1
21/04/2023;Eindhoven FC;NAC Breda;1;2;-1
21/04/2023;Helmond;Heracles;0;1;-1
21/04/2023;Roda;Den Bosch;0;1;-1
21/04/2023;Telstar;Venlo;1;0;1
21/04/2023;Willem II;Oss;4;0;4
17/04/2023;Jong Ajax;Jong PSV;5;4;1
17/04/2023;Jong AZ;Jong Utrecht;4;0;4
16/04/2023;Den Haag;Almere City;2;3;-1
14/04/2023;Den Bosch;Helmond;1;2;-1
14/04/2023;Heracles;Roda;1;0;1
14/04/2023;Maastricht;Dordrecht;2;1;1
14/04/2023;Oss;De Graafschap;3;3;0
14/04/2023;Venlo;Eindhoven FC;2;2;0
14/04/2023;Zwolle;Telstar;2;0;2
10/04/2023;Jong Utrecht;Oss;4;2;2
09/04/2023;Willem II;Venlo;2;1;1
07/04/2023;Almere City;Jong AZ;2;1;1
07/04/2023;De Graafschap;Heracles;5;3;2
07/04/2023;Dordrecht;Jong PSV;1;0;1
07/04/2023;Eindhoven FC;Zwolle;4;2;2
07/04/2023;Helmond;Maastricht;1;2;-1
07/04/2023;NAC Breda;Den Bosch;2;0;2
07/04/2023;Roda;Den Haag;1;1;0
07/04/2023;Telstar;Jong Ajax;2;3;-1
03/04/2023;Almere City;Jong Utrecht;1;0;1
03/04/2023;Jong Ajax;Dordrecht;4;1;3
03/04/2023;Jong AZ;De Graafschap;0;1;-1
03/04/2023;Jong PSV;Roda;5;1;4
02/04/2023;Den Bosch;Willem II;0;2;-2
31/03/2023;Den Haag;Telstar;3;1;2
31/03/2023;Heracles;Almere City;1;1;0
31/03/2023;Maastricht;Eindhoven FC;3;2;1
31/03/2023;Oss;Helmond;2;2;0
31/03/2023;Venlo;NAC Breda;1;3;-2
31/03/2023;Zwolle;Jong Utrecht;2;0;2
26/03/2023;Dordrecht;Helmond;0;0;0
26/03/2023;Heracles;Den Bosch;3;2;1
26/03/2023;Telstar;Oss;1;0;1
26/03/2023;Willem II;Maastricht;2;0;2
19/03/2023;Venlo;Roda;1;1;0
17/03/2023;Den Bosch;Dordrecht;3;1;2
17/03/2023;Den Haag;Willem II;1;3;-2
17/03/2023;Helmond;Telstar;2;2;0
17/03/2023;Jong Ajax;Almere City;0;2;-2
17/03/2023;Jong AZ;Eindhoven FC;1;1;0
17/03/2023;Jong PSV;De Graafschap;2;1;1
17/03/2023;Maastricht;Jong Utrecht;1;0;1
17/03/2023;Oss;Heracles;1;5;-4
17/03/2023;Zwolle;NAC Breda;2;0;2
13/03/2023;Almere City;Venlo;1;3;-2
13/03/2023;De Graafschap;Zwolle;0;1;-1
13/03/2023;Eindhoven FC;Den Haag;1;1;0
13/03/2023;Jong Utrecht;Jong PSV;0;1;-1
13/03/2023;NAC Breda;Jong Ajax;2;6;-4
13/03/2023;Roda;Jong AZ;2;0;2
10/03/2023;Dordrecht;De Graafschap;0;4;-4
10/03/2023;Eindhoven FC;Jong Ajax;5;1;4
10/03/2023;Helmond;Jong PSV;3;0;3
10/03/2023;Heracles;Jong AZ;2;0;2
10/03/2023;NAC Breda;Maastricht;4;1;3
10/03/2023;Oss;Den Haag;2;3;-1
10/03/2023;Roda;Telstar;1;2;-1
10/03/2023;Venlo;Den Bosch;4;0;4
10/03/2023;Willem II;Zwolle;2;3;-1
06/03/2023;De Graafschap;Helmond;2;0;2
06/03/2023;Den Haag;Heracles;0;3;-3
06/03/2023;Jong Ajax;Oss;1;2;-1
06/03/2023;Jong AZ;Willem II;2;2;0
06/03/2023;Jong PSV;NAC Breda;1;2;-1
06/03/2023;Jong Utrecht;Roda;1;3;-2
03/03/2023;Dordrecht;Almere City;0;1;-1
03/03/2023;Maastricht;Venlo;0;1;-1
03/03/2023;Telstar;Eindhoven FC;0;1;-1
03/03/2023;Zwolle;Den Bosch;13;0;13
27/02/2023;Jong PSV;Jong AZ;3;3;0
27/02/2023;Maastricht;Zwolle;3;2;1
26/02/2023;Den Bosch;Den Haag;0;0;0
24/02/2023;Eindhoven FC;De Graafschap;0;4;-4
24/02/2023;Helmond;Jong Utrecht;2;0;2
24/02/2023;Heracles;Telstar;7;0;7
24/02/2023;NAC Breda;Dordrecht;3;2;1
24/02/2023;Roda;Almere City;0;2;-2
24/02/2023;Venlo;Oss;0;1;-1
24/02/2023;Willem II;Jong Ajax;2;1;1
20/02/2023;Jong Ajax;Maastricht;4;2;2
20/02/2023;Jong Utrecht;NAC Breda;4;1;3
19/02/2023;De Graafschap;Roda;2;0;2
17/02/2023;Almere City;Helmond;0;0;0
17/02/2023;Den Haag;Zwolle;3;1;2
17/02/2023;Dordrecht;Venlo;1;2;-1
17/02/2023;Heracles;Willem II;1;1;0
17/02/2023;Jong AZ;Den Bosch;3;1;2
17/02/2023;Oss;Eindhoven FC;2;0;2
17/02/2023;Telstar;Jong PSV;1;1;0
13/02/2023;Jong PSV;Den Haag;1;2;-1
13/02/2023;Jong Utrecht;Telstar;0;1;-1
13/02/2023;Maastricht;Heracles;0;2;-2
10/02/2023;Den Bosch;Jong Ajax;4;2;2
10/02/2023;Eindhoven FC;Almere City;0;1;-1
10/02/2023;Helmond;Roda;1;0;1
10/02/2023;Maastricht;Oss;5;1;4
10/02/2023;NAC Breda;De Graafschap;2;0;2
10/02/2023;Venlo;Heracles;3;1;2
10/02/2023;Willem II;Dordrecht;1;0;1
10/02/2023;Zwolle;Jong AZ;4;1;3
06/02/2023;Jong Ajax;Zwolle;0;0;0
06/02/2023;Willem II;Eindhoven FC;3;0;3
05/02/2023;Roda;Maastricht;2;1;1
