DATE;HOME;AWAY;FTHG;FTAG;DIFF
11/06/2023;FC Emmen;Almere City;1;2;-1
11/06/2023;Twente;Sparta Rotterdam;1;0;1
08/06/2023;Sparta Rotterdam;Twente;1;1;0
06/06/2023;Almere City;FC Emmen;2;0;2
04/06/2023;Sparta Rotterdam;Utrecht;1;1;0
04/06/2023;Twente;Heerenveen;4;0;4
03/06/2023;FC Emmen;NAC Breda;2;0;2
03/06/2023;Almere City;Venlo;2;1;1
01/06/2023;Utrecht;Sparta Rotterdam;1;2;-1
01/06/2023;Heerenveen;Twente;1;2;-1
31/05/2023;NAC Breda;FC Emmen;1;2;-1
30/05/2023;Venlo;Almere City;1;1;0
28/05/2023;AZ Alkmaar;PSV;1;2;-1
28/05/2023;Cambuur;Waalwijk;4;0;4
28/05/2023;FC Volendam;Excelsior;3;2;1
28/05/2023;Feyenoord;Vitesse;0;1;-1
28/05/2023;Groningen;Sparta Rotterdam;0;5;-5
28/05/2023;Heerenveen;G.A. Eagles;2;0;2
28/05/2023;Sittard;Nijmegen;1;1;0
28/05/2023;Twente;Ajax;3;1;2
28/05/2023;Utrecht;FC Emmen;3;2;1
27/05/2023;Maastricht;NAC Breda;1;4;-3
27/05/2023;Willem II;Venlo;2;2;0
26/05/2023;Almere City;Eindhoven FC;3;1;2
23/05/2023;NAC Breda;Maastricht;1;0;1
23/05/2023;Venlo;Willem II;3;2;1
22/05/2023;Eindhoven FC;Almere City;1;0;1
21/05/2023;Ajax;Utrecht;3;1;2
21/05/2023;Excelsior;Sittard;3;0;3
21/05/2023;FC Emmen;Feyenoord;1;3;-2
21/05/2023;G.A. Eagles;FC Volendam;3;0;3
21/05/2023;Nijmegen;AZ Alkmaar;0;3;-3
21/05/2023;PSV;Heerenveen;3;3;0
21/05/2023;Sparta Rotterdam;Cambuur;4;1;3
21/05/2023;Vitesse;Groningen;6;0;6
21/05/2023;Waalwijk;Twente;0;5;-5
16/05/2023;Groningen;Ajax;2;3;-1
14/05/2023;AZ Alkmaar;FC Emmen;5;1;4
14/05/2023;PSV;Sittard;2;1;1
14/05/2023;Feyenoord;G.A. Eagles;3;0;3
14/05/2023;Vitesse;Cambuur;2;0;2
13/05/2023;Utrecht;Waalwijk;2;0;2
13/05/2023;Heerenveen;Excelsior;0;0;0
13/05/2023;FC Volendam;Sparta Rotterdam;2;1;1
12/05/2023;Twente;Nijmegen;4;0;4
07/05/2023;Sittard;Vitesse;2;0;2
07/05/2023;Excelsior;Feyenoord;0;2;-2
07/05/2023;G.A. Eagles;Groningen;1;1;0
07/05/2023;FC Emmen;Twente;0;3;-3
06/05/2023;Ajax;AZ Alkmaar;0;0;0
06/05/2023;Cambuur;Utrecht;0;3;-3
06/05/2023;Nijmegen;Heerenveen;2;3;-1
06/05/2023;Sparta Rotterdam;PSV;0;1;-1
05/05/2023;Waalwijk;FC Volendam;4;1;3
25/04/2023;Groningen;Nijmegen;0;1;-1
23/04/2023;AZ Alkmaar;Waalwijk;3;0;3
23/04/2023;Feyenoord;Utrecht;3;1;2
23/04/2023;G.A. Eagles;Sittard;2;0;2
23/04/2023;PSV;Ajax;3;0;3
23/04/2023;Twente;Sparta Rotterdam;3;3;0
22/04/2023;Vitesse;Excelsior;0;0;0
22/04/2023;Heerenveen;FC Emmen;2;3;-1
21/04/2023;FC Volendam;Cambuur;2;0;2
19/04/2023;G.A. Eagles;Waalwijk;3;2;1
16/04/2023;Ajax;FC Emmen;3;1;2
16/04/2023;Sittard;AZ Alkmaar;0;3;-3
16/04/2023;Cambuur;Feyenoord;0;3;-3
16/04/2023;FC Volendam;PSV;2;3;-1
16/04/2023;Utrecht;Twente;1;0;1
16/04/2023;Nijmegen;Vitesse;1;4;-3
15/04/2023;Sparta Rotterdam;Heerenveen;4;0;4
15/04/2023;Waalwijk;Groningen;2;1;1
14/04/2023;Excelsior;G.A. Eagles;2;1;1
09/04/2023;Feyenoord;Waalwijk;5;1;4
09/04/2023;Ajax;Sittard;4;0;4
09/04/2023;FC Emmen;Nijmegen;0;0;0
09/04/2023;Twente;Cambuur;4;0;4
08/04/2023;Heerenveen;FC Volendam;2;1;1
08/04/2023;AZ Alkmaar;Sparta Rotterdam;0;1;-1
08/04/2023;PSV;Excelsior;4;0;4
08/04/2023;Vitesse;G.A. Eagles;2;0;2
07/04/2023;Groningen;Utrecht;1;2;-1
02/04/2023;Sittard;Groningen;3;1;2
02/04/2023;Sparta Rotterdam;Feyenoord;1;3;-2
