DATE;HOME;AWAY;FTHG;FTAG;DIFF
11/06/2023;BSAD;Vilaverdense;0;1;-1
03/06/2023;Vilaverdense;BSAD;1;1;0
28/05/2023;SC Farense;Tondela;3;1;2
28/05/2023;Nacional;Academico Viseu;3;2;1
28/05/2023;Trofense;Mafra;1;2;-1
28/05/2023;Vilafranquense;BSAD;1;1;0
28/05/2023;Oliveirense;Leixoes;4;3;1
27/05/2023;FC Porto B;Benfica B;3;1;2
27/05/2023;Penafiel;Estrela;2;4;-2
26/05/2023;Feirense;Torreense;4;1;3
25/05/2023;Moreirense;Covilha;6;4;2
22/05/2023;Tondela;FC Porto B;0;1;-1
21/05/2023;Vilaverdense;Braga B;2;1;1
21/05/2023;Torreense;Penafiel;5;1;4
21/05/2023;Mafra;Moreirense;0;2;-2
21/05/2023;Estrela;Nacional;0;1;-1
20/05/2023;BSAD;Oliveirense;2;1;1
20/05/2023;Academico Viseu;Feirense;2;1;1
20/05/2023;Covilha;Trofense;0;2;-2
19/05/2023;Benfica B;SC Farense;0;1;-1
19/05/2023;Leixoes;Vilafranquense;2;0;2
15/05/2023;Oliveirense;Torreense;3;1;2
14/05/2023;Vilafranquense;Covilha;0;0;0
14/05/2023;FC Porto B;Academico Viseu;3;1;2
14/05/2023;Moreirense;Leixoes;4;2;2
14/05/2023;Braga B;Vilaverdense;0;2;-2
14/05/2023;Penafiel;Tondela;1;0;1
14/05/2023;Nacional;SC Farense;0;1;-1
13/05/2023;Feirense;Benfica B;1;2;-1
13/05/2023;BSAD;Mafra;2;2;0
12/05/2023;Trofense;Estrela;2;2;0
07/05/2023;SC Farense;FC Porto B;2;0;2
07/05/2023;Academico Viseu;Penafiel;0;0;0
07/05/2023;Benfica B;Nacional;1;2;-1
07/05/2023;Torreense;Trofense;0;0;0
06/05/2023;Estrela;Moreirense;2;4;-2
06/05/2023;Tondela;Feirense;1;1;0
06/05/2023;Covilha;Oliveirense;2;1;1
06/05/2023;Mafra;Vilafranquense;2;1;1
05/05/2023;Leixoes;BSAD;0;2;-2
30/04/2023;Trofense;Academico Viseu;1;0;1
30/04/2023;Penafiel;Benfica B;0;3;-3
30/04/2023;FC Porto B;Nacional;1;1;0
30/04/2023;BSAD;Covilha;0;1;-1
30/04/2023;Leixoes;Mafra;0;2;-2
29/04/2023;Moreirense;Tondela;2;1;1
29/04/2023;Feirense;SC Farense;1;2;-1
29/04/2023;Vilafranquense;Torreense;2;0;2
28/04/2023;Oliveirense;Estrela;1;2;-1
24/04/2023;Benfica B;Trofense;0;0;0
24/04/2023;Covilha;Mafra;1;2;-1
23/04/2023;FC Porto B;Moreirense;0;0;0
23/04/2023;Estrela;BSAD;2;0;2
23/04/2023;Tondela;Vilafranquense;1;0;1
22/04/2023;SC Farense;Penafiel;2;1;1
22/04/2023;Torreense;Leixoes;2;0;2
22/04/2023;Academico Viseu;Oliveirense;1;4;-3
21/04/2023;Nacional;Feirense;0;0;0
17/04/2023;Vilafranquense;Estrela;0;1;-1
16/04/2023;Penafiel;Nacional;3;0;3
16/04/2023;Feirense;FC Porto B;3;0;3
16/04/2023;Moreirense;Benfica B;7;4;3
15/04/2023;Leixoes;Covilha;3;2;1
15/04/2023;Mafra;Torreense;1;0;1
15/04/2023;Trofense;Tondela;1;2;-1
15/04/2023;BSAD;Academico Viseu;1;1;0
14/04/2023;Oliveirense;SC Farense;1;2;-1
08/04/2023;FC Porto B;Trofense;4;2;2
08/04/2023;Feirense;Penafiel;2;1;1
08/04/2023;Torreense;Covilha;3;1;2
08/04/2023;Tondela;Leixoes;2;3;-1
08/04/2023;Academico Viseu;Vilafranquense;2;0;2
08/04/2023;Benfica B;BSAD;0;1;-1
07/04/2023;Estrela;Mafra;2;2;0
07/04/2023;SC Farense;Moreirense;3;1;2
07/04/2023;Nacional;Oliveirense;0;3;-3
03/04/2023;Penafiel;FC Porto B;1;2;-1
02/04/2023;Vilafranquense;Nacional;4;0;4
02/04/2023;Covilha;Estrela;0;2;-2
02/04/2023;BSAD;Torreense;1;3;-2
02/04/2023;Leixoes;Academico Viseu;2;3;-1
01/04/2023;Oliveirense;Tondela;0;0;0
01/04/2023;Moreirense;Feirense;0;0;0
01/04/2023;Mafra;Benfica B;1;1;0
01/04/2023;Trofense;SC Farense;2;1;1
19/03/2023;FC Porto B;Leixoes;4;0;4
19/03/2023;SC Farense;BSAD;4;0;4
19/03/2023;Penafiel;Vilafranquense;1;1;0
19/03/2023;Academico Viseu;Covilha;1;0;1
19/03/2023;Benfica B;Oliveirense;2;0;2
19/03/2023;Tondela;Mafra;1;2;-1
18/03/2023;Nacional;Moreirense;0;2;-2
18/03/2023;Feirense;Trofense;1;0;1
18/03/2023;Estrela;Torreense;1;0;1
12/03/2023;BSAD;Tondela;0;2;-2
12/03/2023;Leixoes;Estrela;1;1;0
12/03/2023;Mafra;Academico Viseu;2;0;2
12/03/2023;Covilha;Benfica B;2;1;1
11/03/2023;Oliveirense;Feirense;0;1;-1
11/03/2023;Torreense;FC Porto B;3;0;3
11/03/2023;Trofense;Nacional;2;2;0
11/03/2023;Vilafranquense;SC Farense;1;1;0
10/03/2023;Moreirense;Penafiel;3;1;2
05/03/2023;FC Porto B;Mafra;1;1;0
05/03/2023;Feirense;BSAD;0;1;-1
05/03/2023;Academico Viseu;Estrela;1;1;0
05/03/2023;Nacional;Covilha;2;0;2
05/03/2023;SC Farense;Leixoes;1;0;1
04/03/2023;Tondela;Torreense;1;1;0
04/03/2023;Moreirense;Trofense;1;0;1
04/03/2023;Benfica B;Vilafranquense;0;2;-2
04/03/2023;Penafiel;Oliveirense;1;1;0
26/02/2023;Estrela;Tondela;0;0;0
26/02/2023;BSAD;Nacional;0;1;-1
26/02/2023;Covilha;SC Farense;1;0;1
26/02/2023;Mafra;Feirense;1;1;0
26/02/2023;Vilafranquense;FC Porto B;1;2;-1
25/02/2023;Oliveirense;Moreirense;2;2;0
25/02/2023;Leixoes;Benfica B;1;1;0
25/02/2023;Torreense;Academico Viseu;1;2;-1
24/02/2023;Trofense;Penafiel;1;2;-1
19/02/2023;Benfica B;Torreense;1;2;-1
19/02/2023;SC Farense;Mafra;1;0;1
19/02/2023;Moreirense;BSAD;4;1;3
19/02/2023;Nacional;Leixoes;1;2;-1
18/02/2023;FC Porto B;Estrela;1;2;-1
18/02/2023;Feirense;Vilafranquense;1;2;-1
18/02/2023;Trofense;Oliveirense;2;1;1
18/02/2023;Penafiel;Covilha;1;1;0
17/02/2023;Tondela;Academico Viseu;1;1;0
13/02/2023;BSAD;Penafiel;2;2;0
13/02/2023;Mafra;Nacional;3;3;0
12/02/2023;Academico Viseu;SC Farense;2;0;2
12/02/2023;Oliveirense;FC Porto B;2;1;1
11/02/2023;Covilha;Tondela;1;0;1
11/02/2023;Vilafranquense;Trofense;0;1;-1
11/02/2023;Estrela;Benfica B;2;1;1
11/02/2023;Leixoes;Feirense;0;1;-1
10/02/2023;Torreense;Moreirense;1;0;1
06/02/2023;Feirense;Covilha;0;2;-2
05/02/2023;Benfica B;Tondela;2;1;1
05/02/2023;Trofense;Leixoes;0;1;-1
05/02/2023;Penafiel;Mafra;1;0;1
04/02/2023;FC Porto B;BSAD;1;2;-1
04/02/2023;Nacional;Torreense;3;1;2
04/02/2023;Moreirense;Academico Viseu;1;0;1
04/02/2023;Oliveirense;Vilafranquense;2;2;0
03/02/2023;SC Farense;Estrela;2;2;0
31/01/2023;Academico Viseu;Benfica B;2;0;2
30/01/2023;BSAD;Trofense;1;1;0
29/01/2023;Leixoes;Penafiel;2;1;1
29/01/2023;Estrela;Feirense;4;1;3
29/01/2023;Mafra;Oliveirense;2;3;-1
29/01/2023;Tondela;Nacional;1;0;1
29/01/2023;Vilafranquense;Moreirense;1;2;-1
29/01/2023;Covilha;FC Porto B;1;2;-1
29/01/2023;Torreense;SC Farense;1;0;1
23/01/2023;Torreense;Feirense;4;2;2
22/01/2023;Estrela;Penafiel;3;0;3
22/01/2023;Benfica B;FC Porto B;2;2;0
22/01/2023;Tondela;SC Farense;1;0;1
22/01/2023;Covilha;Moreirense;0;0;0
21/01/2023;Leixoes;Oliveirense;1;2;-1
21/01/2023;Mafra;Trofense;1;0;1
21/01/2023;BSAD;Vilafranquense;0;3;-3
21/01/2023;Academico Viseu;Nacional;1;1;0
15/01/2023;Oliveirense;BSAD;2;1;1
15/01/2023;FC Porto B;Tondela;1;1;0
15/01/2023;SC Farense;Benfica B;5;2;3
15/01/2023;Nacional;Estrela;0;1;-1
15/01/2023;Feirense;Academico Viseu;1;1;0
14/01/2023;Vilafranquense;Leixoes;2;0;2
14/01/2023;Trofense;Covilha;2;0;2
14/01/2023;Penafiel;Torreense;0;0;0
13/01/2023;Moreirense;Mafra;4;2;2
09/01/2023;Tondela;Penafiel;0;1;-1
08/01/2023;Benfica B;Feirense;3;6;-3
08/01/2023;Estrela;Trofense;2;2;0
08/01/2023;Covilha;Vilafranquense;0;0;0
07/01/2023;Mafra;BSAD;0;1;-1
07/01/2023;Torreense;Oliveirense;1;1;0
07/01/2023;SC Farense;Nacional;1;0;1
07/01/2023;Academico Viseu;FC Porto B;2;1;1
05/01/2023;Leixoes;Moreirense;0;1;-1
31/12/2022;Moreirense;Estrela;0;0;0
31/12/2022;Penafiel;Academico Viseu;1;2;-1
30/12/2022;Trofense;Torreense;0;1;-1
30/12/2022;Oliveirense;Covilha;2;0;2
29/12/2022;Nacional;Benfica B;2;0;2
29/12/2022;BSAD;Leixoes;2;0;2
28/12/2022;FC Porto B;SC Farense;4;0;4
23/12/2022;Feirense;Tondela;1;1;0
23/12/2022;Vilafranquense;Mafra;3;3;0
16/11/2022;SC Farense;Trofense;3;1;2
14/11/2022;Mafra;Leixoes;1;1;0
14/11/2022;Tondela;Moreirense;1;1;0
13/11/2022;Covilha;BSAD;1;1;0
13/11/2022;Academico Viseu;Trofense;3;1;2
12/11/2022;Benfica B;Penafiel;1;2;-1
12/11/2022;Nacional;FC Porto B;4;0;4
12/11/2022;SC Farense;Feirense;0;0;0
12/11/2022;Estrela;Oliveirense;1;0;1
11/11/2022;Torreense;Vilafranquense;0;1;-1
07/11/2022;Trofense;Benfica B;1;2;-1
06/11/2022;BSAD;Estrela;1;3;-2
06/11/2022;Feirense;Nacional;1;1;0
05/11/2022;Oliveirense;Academico Viseu;1;1;0
05/11/2022;Penafiel;SC Farense;0;2;-2
05/11/2022;Leixoes;Torreense;1;0;1
05/11/2022;Vilafranquense;Tondela;1;1;0
05/11/2022;Moreirense;FC Porto B;3;2;1
04/11/2022;Mafra;Covilha;3;2;1
31/10/2022;Estrela;Vilafranquense;1;1;0
30/10/2022;Tondela;Trofense;0;0;0
30/10/2022;Covilha;Leixoes;1;2;-1
30/10/2022;SC Farense;Oliveirense;2;0;2
30/10/2022;Academico Viseu;BSAD;2;1;1
29/10/2022;Benfica B;Moreirense;2;1;1
29/10/2022;FC Porto B;Feirense;0;0;0
29/10/2022;Nacional;Penafiel;1;1;0
29/10/2022;Torreense;Mafra;0;1;-1
24/10/2022;Leixoes;Tondela;1;1;0
23/10/2022;Vilafranquense;Academico Viseu;1;3;-2
23/10/2022;Mafra;Estrela;2;2;0
23/10/2022;Moreirense;SC Farense;3;2;1
23/10/2022;Oliveirense;Nacional;0;0;0
23/10/2022;Penafiel;Feirense;0;1;-1
23/10/2022;Trofense;FC Porto B;0;3;-3
22/10/2022;BSAD;Benfica B;0;2;-2
22/10/2022;Covilha;Torreense;0;3;-3
19/10/2022;Tondela;Oliveirense;1;3;-2
19/10/2022;Nacional;Vilafranquense;1;1;0
19/10/2022;Academico Viseu;Leixoes;2;2;0
19/10/2022;FC Porto B;Penafiel;0;0;0
18/10/2022;Feirense;Moreirense;1;2;-1
18/10/2022;Benfica B;Mafra;5;1;4
18/10/2022;Torreense;BSAD;0;1;-1
15/10/2022;Estrela;Covilha;2;1;1
10/10/2022;Trofense;Feirense;0;3;-3
09/10/2022;Mafra;Tondela;1;1;0
09/10/2022;Moreirense;Nacional;3;1;2
09/10/2022;Covilha;Academico Viseu;2;3;-1
08/10/2022;Torreense;Estrela;1;0;1
08/10/2022;Vilafranquense;Penafiel;0;1;-1
08/10/2022;Oliveirense;Benfica B;2;2;0
08/10/2022;Leixoes;FC Porto B;0;0;0
07/10/2022;BSAD;SC Farense;2;3;-1
19/09/2022;Feirense;Oliveirense;3;2;1
18/09/2022;Estrela;Leixoes;2;2;0
18/09/2022;Nacional;Trofense;0;1;-1
18/09/2022;Benfica B;Covilha;4;0;4
18/09/2022;SC Farense;Vilafranquense;2;1;1
17/09/2022;FC Porto B;Torreense;2;0;2
17/09/2022;Penafiel;Moreirense;1;1;0
17/09/2022;Academico Viseu;Mafra;2;0;2
16/09/2022;Tondela;BSAD;3;1;2
12/09/2022;Estrela;Academico Viseu;2;1;1
11/09/2022;Trofense;Moreirense;0;3;-3
11/09/2022;Torreense;Tondela;0;3;-3
11/09/2022;Leixoes;SC Farense;0;1;-1
11/09/2022;BSAD;Feirense;1;1;0
11/09/2022;Covilha;Nacional;1;2;-1
10/09/2022;Mafra;FC Porto B;0;1;-1
10/09/2022;Vilafranquense;Benfica B;3;2;1
09/09/2022;Oliveirense;Penafiel;1;1;0
05/09/2022;Tondela;Estrela;1;1;0
04/09/2022;Nacional;BSAD;1;3;-2
04/09/2022;SC Farense;Covilha;2;2;0
04/09/2022;Feirense;Mafra;0;0;0
04/09/2022;Penafiel;Trofense;3;0;3
03/09/2022;FC Porto B;Vilafranquense;0;1;-1
03/09/2022;Moreirense;Oliveirense;4;1;3
03/09/2022;Academico Viseu;Torreense;1;2;-1
03/09/2022;Benfica B;Leixoes;2;1;1
29/08/2022;Mafra;SC Farense;0;3;-3
28/08/2022;Oliveirense;Trofense;1;1;0
28/08/2022;Estrela;FC Porto B;1;1;0
28/08/2022;Torreense;Benfica B;0;0;0
28/08/2022;Leixoes;Nacional;3;0;3
27/08/2022;Covilha;Penafiel;0;2;-2
27/08/2022;BSAD;Moreirense;2;3;-1
27/08/2022;Academico Viseu;Tondela;2;2;0
26/08/2022;Vilafranquense;Feirense;1;0;1
22/08/2022;Penafiel;BSAD;3;3;0
21/08/2022;FC Porto B;Oliveirense;2;0;2
21/08/2022;Nacional;Mafra;0;2;-2
21/08/2022;Feirense;Leixoes;1;1;0
20/08/2022;Trofense;Vilafranquense;1;3;-2
20/08/2022;Moreirense;Torreense;3;0;3
20/08/2022;SC Farense;Academico Viseu;2;2;0
19/08/2022;Tondela;Covilha;1;1;0
17/08/2022;Benfica B;Estrela;1;2;-1
15/08/2022;Leixoes;Trofense;1;0;1
15/08/2022;Mafra;Penafiel;3;0;3
14/08/2022;BSAD;FC Porto B;2;3;-1
14/08/2022;Vilafranquense;Oliveirense;2;1;1
14/08/2022;Academico Viseu;Moreirense;1;3;-2
13/08/2022;Estrela;SC Farense;1;1;0
13/08/2022;Torreense;Nacional;0;2;-2
13/08/2022;Covilha;Feirense;0;2;-2
12/08/2022;Tondela;Benfica B;1;1;0
08/08/2022;Penafiel;Leixoes;0;0;0
07/08/2022;FC Porto B;Covilha;0;1;-1
07/08/2022;Moreirense;Vilafranquense;1;0;1
07/08/2022;Feirense;Estrela;1;1;0
06/08/2022;Benfica B;Academico Viseu;1;1;0
06/08/2022;Trofense;BSAD;3;2;1
06/08/2022;Nacional;Tondela;0;1;-1
06/08/2022;Oliveirense;Mafra;3;1;2
06/08/2022;SC Farense;Torreense;2;1;1
