DATE;HOME;AWAY;FTHG;FTAG;DIFF
11/06/2023;Maritimo;Estrela;2;2;0
03/06/2023;Estrela;Maritimo;2;1;1
27/05/2023;Braga;Pacos Ferreira;3;0;3
27/05/2023;Benfica;Santa Clara;3;0;3
27/05/2023;FC Porto;Vitoria Guimaraes;3;0;3
27/05/2023;Portimonense;Arouca;0;2;-2
27/05/2023;Chaves;Boavista;1;4;-3
27/05/2023;Estoril;Maritimo;3;1;2
27/05/2023;Gil Vicente;Casa Pia;1;0;1
26/05/2023;Vizela;Sporting CP;1;2;-1
26/05/2023;Rio Ave;Famalicao;2;2;0
21/05/2023;Sporting CP;Benfica;2;2;0
21/05/2023;Casa Pia;Estoril;2;2;0
21/05/2023;Pacos Ferreira;Rio Ave;3;1;2
21/05/2023;Vitoria Guimaraes;Gil Vicente;1;0;1
20/05/2023;Famalicao;FC Porto;2;4;-2
20/05/2023;Boavista;Braga;1;1;0
20/05/2023;Arouca;Chaves;1;0;1
20/05/2023;Santa Clara;Portimonense;1;0;1
19/05/2023;Maritimo;Vizela;1;0;1
15/05/2023;Estoril;Arouca;2;0;2
14/05/2023;FC Porto;Casa Pia;2;1;1
14/05/2023;Braga;Santa Clara;5;3;2
14/05/2023;Rio Ave;Vitoria Guimaraes;0;1;-1
13/05/2023;Sporting CP;Maritimo;2;1;1
13/05/2023;Portimonense;Benfica;1;5;-4
13/05/2023;Chaves;Pacos Ferreira;2;0;2
13/05/2023;Vizela;Famalicao;0;0;0
12/05/2023;Gil Vicente;Boavista;3;1;2
08/05/2023;Arouca;FC Porto;0;1;-1
08/05/2023;Famalicao;Chaves;1;2;-1
07/05/2023;Pacos Ferreira;Sporting CP;0;4;-4
07/05/2023;Vitoria Guimaraes;Vizela;3;0;3
07/05/2023;Maritimo;Rio Ave;2;2;0
06/05/2023;Benfica;Braga;1;0;1
06/05/2023;Boavista;Estoril;1;0;1
06/05/2023;Santa Clara;Gil Vicente;3;2;1
05/05/2023;Casa Pia;Portimonense;1;1;0
30/04/2023;Sporting CP;Famalicao;2;1;1
30/04/2023;FC Porto;Boavista;1;0;1
30/04/2023;Estoril;Santa Clara;3;0;3
29/04/2023;Gil Vicente;Benfica;0;2;-2
29/04/2023;Chaves;Casa Pia;1;0;1
29/04/2023;Vizela;Pacos Ferreira;1;2;-1
29/04/2023;Braga;Portimonense;4;1;3
29/04/2023;Maritimo;Vitoria Guimaraes;1;2;-1
28/04/2023;Rio Ave;Arouca;1;0;1
24/04/2023;Vitoria Guimaraes;Sporting CP;0;2;-2
23/04/2023;Arouca;Vizela;1;0;1
23/04/2023;Benfica;Estoril;1;0;1
23/04/2023;Santa Clara;Chaves;1;1;0
23/04/2023;Portimonense;Gil Vicente;1;0;1
22/04/2023;Pacos Ferreira;FC Porto;0;2;-2
22/04/2023;Boavista;Rio Ave;3;2;1
22/04/2023;Famalicao;Maritimo;3;2;1
21/04/2023;Casa Pia;Braga;0;1;-1
17/04/2023;Vizela;Boavista;1;1;0
16/04/2023;Sporting CP;Arouca;1;1;0
16/04/2023;Braga;Gil Vicente;1;0;1
16/04/2023;Rio Ave;Casa Pia;1;1;0
15/04/2023;FC Porto;Santa Clara;2;1;1
15/04/2023;Chaves;Benfica;1;0;1
15/04/2023;Estoril;Portimonense;0;1;-1
15/04/2023;Maritimo;Pacos Ferreira;3;1;2
14/04/2023;Famalicao;Vitoria Guimaraes;2;1;1
10/04/2023;Gil Vicente;Chaves;0;0;0
09/04/2023;Casa Pia;Sporting CP;3;4;-1
08/04/2023;Braga;Estoril;4;1;3
08/04/2023;Pacos Ferreira;Famalicao;1;3;-2
08/04/2023;Portimonense;Rio Ave;2;2;0
08/04/2023;Arouca;Maritimo;1;0;1
07/04/2023;Boavista;Vitoria Guimaraes;2;1;1
07/04/2023;Benfica;FC Porto;1;2;-1
07/04/2023;Santa Clara;Vizela;0;1;-1
05/04/2023;Gil Vicente;Sporting CP;0;0;0
03/04/2023;Famalicao;Arouca;0;1;-1
02/04/2023;FC Porto;Portimonense;1;0;1
02/04/2023;Rio Ave;Benfica;0;1;-1
02/04/2023;Chaves;Braga;1;2;-1
02/04/2023;Maritimo;Boavista;4;2;2
01/04/2023;Sporting CP;Santa Clara;3;0;3
01/04/2023;Vitoria Guimaraes;Pacos Ferreira;0;0;0
01/04/2023;Vizela;Casa Pia;3;1;2
31/03/2023;Estoril;Gil Vicente;1;0;1
19/03/2023;Boavista;Famalicao;1;2;-1
19/03/2023;Braga;FC Porto;0;0;0
19/03/2023;Casa Pia;Maritimo;2;0;2
18/03/2023;Estoril;Chaves;0;2;-2
18/03/2023;Arouca;Pacos Ferreira;1;1;0
18/03/2023;Benfica;Vitoria Guimaraes;5;1;4
18/03/2023;Portimonense;Vizela;0;1;-1
17/03/2023;Santa Clara;Rio Ave;0;2;-2
