HOME;AWAY;FTHG;FTAG;DIFF
Brusque;Avai;0;0;0
Coritiba;America MG;1;0;1
Botafogo SP;Ponte Preta;2;0;2
Santos;Goias;2;0;2
Paysandu PA;CRB;1;1;0
Novorizontino;Amazonas;1;1;0
Guarani;Ituano;3;3;0
Chapecoense-SC;Operario;0;1;-1
Goias;Coritiba;1;1;0
Sport Recife;Mirassol;1;0;1
Brusque;Ceara;1;0;1
Botafogo SP;Vila Nova FC;1;0;1
Ituano;Paysandu PA;3;5;-2
Ponte Preta;Novorizontino;1;0;1
America MG;CRB;2;1;1
Avai;Guarani;3;2;1
Operario;Santos;1;0;1
Amazonas;Chapecoense-SC;0;1;-1
Mirassol;Goias;1;0;1
Sport Recife;Paysandu PA;1;0;1
Vila Nova FC;Ceara;3;2;1
America MG;Ponte Preta;2;0;2
Avai;Chapecoense-SC;0;0;0
Amazonas;Brusque;2;1;1
Guarani;Operario;0;1;-1
Novorizontino;Santos;3;1;2
Coritiba;Ituano;4;2;2
Paysandu PA;America MG;2;0;2
Mirassol;Guarani;3;0;3
Operario;Amazonas;1;0;1
Santos;Botafogo SP;1;2;-1
Ituano;Avai;0;1;-1
Chapecoense-SC;Vila Nova FC;1;1;0
Ponte Preta;CRB;4;2;2
Brusque;Novorizontino;0;0;0
Goias;Sport Recife;3;0;3
Ceara;Coritiba;1;0;1
Amazonas;Mirassol;1;0;1
Avai;Goias;2;0;2
Botafogo SP;Novorizontino;0;1;-1
Coritiba;Operario;3;0;3
Ceara;Chapecoense-SC;2;1;1
Vila Nova FC;Brusque;2;2;0
Ituano;Ponte Preta;2;0;2
Guarani;Paysandu PA;0;0;0
America MG;Santos;2;1;1
Chapecoense-SC;Ponte Preta;0;0;0
Guarani;America MG;1;2;-1
Mirassol;Ituano;2;0;2
Operario;Ceara;0;0;0
Santos;Brusque;4;0;4
Sport Recife;Avai;1;2;-1
Goias;Botafogo SP;4;0;4
Amazonas;Paysandu PA;1;1;0
Novorizontino;Coritiba;0;0;0
CRB;Vila Nova FC;1;0;1
Ceara;Amazonas;2;1;1
Paysandu PA;Goias;1;1;0
Ponte Preta;Santos;1;2;-1
America MG;Mirassol;0;0;0
Brusque;Operario;0;0;0
Ituano;Sport Recife;1;0;1
Botafogo SP;Chapecoense-SC;0;0;0
Coritiba;Guarani;1;0;1
Avai;CRB;2;1;1
Vila Nova FC;Novorizontino;2;1;1
Mirassol;Paysandu PA;2;1;1
Avai;Coritiba;1;0;1
Amazonas;Santos;1;0;1
Guarani;Botafogo SP;2;0;2
Operario;Ponte Preta;1;1;0
Sport Recife;Brusque;4;1;3
CRB;Chapecoense-SC;2;0;2
Goias;Ituano;2;0;2
Novorizontino;Ceara;0;3;-3
America MG;Vila Nova FC;3;1;2
Botafogo SP;Mirassol;0;0;0
Santos;Guarani;4;1;3
Ponte Preta;Amazonas;3;0;3
Ceara;CRB;2;2;0
Brusque;Goias;0;2;-2
Ituano;Novorizontino;1;3;-2
Vila Nova FC;Operario;1;0;1
Chapecoense-SC;America MG;2;2;0
Coritiba;Sport Recife;0;1;-1
Paysandu PA;Avai;0;0;0
Mirassol;Ceara;3;2;1
Goias;Ponte Preta;3;0;3
Coritiba;Brusque;1;0;1
America MG;Novorizontino;2;0;2
CRB;Amazonas;0;0;0
Paysandu PA;Botafogo SP;1;1;0
Guarani;Chapecoense-SC;0;1;-1
Avai;Santos;0;2;-2
Ituano;Operario;0;2;-2
Sport Recife;Vila Nova FC;2;0;2
Brusque;Mirassol;3;1;2
Vila Nova FC;Guarani;2;0;2
Ponte Preta;Coritiba;1;1;0
Ceara;Goias;1;1;0
Amazonas;Sport Recife;2;3;-1
Santos;Paysandu PA;2;0;2
Chapecoense-SC;Ituano;3;1;2
Operario;Avai;1;0;1
Botafogo SP;America MG;1;1;0
Novorizontino;CRB;2;1;1
