HOME;AWAY;FTHG;FTAG;DIFF
Mixto;Brasiliense;2;1;1
Democrata SL;Serra;1;2;-1
Maringa FC;Patrocinense;4;0;4
Aguia De Maraba;Maranhao;0;0;0
Manaus;Porto Velho;2;1;1
Barra FC;Concordia;0;0;0
Brasil de Pelotas;Novo Hamburgo;3;1;2
Real Brasilia;Uniao Rondonopolis;3;0;3
Cianorte;Avenida;3;1;2
Humaita;Trem;0;3;-3
Agua Santa;Santo Andre;2;0;2
Capital FC;Ipora;0;3;-3
Sao Raimundo RR;Rio Branco;3;1;2
Hercilio Luz;Cascavel;0;0;0
Anapolis;CRAC;0;0;0
Princesa do Solimoes;Manauara;0;0;0
River-PI;Fluminense-PI;2;2;0
Inter de Limeira;Sao Jose EC;1;2;-1
Pouso Alegre;Costa Rica;0;1;-1
Audax RJ;Nova Iguacu;0;1;-1
Real Noroeste;Ipatinga;2;0;2
America RN;Sousa;1;0;1
Maranhao;Cameta;1;0;1
Iguatu;Maracana;2;0;2
Avenida;Novo Hamburgo;2;1;1
Cianorte;Brasil de Pelotas;1;0;1
Retro;Petrolina;1;0;1
Sao Raimundo RR;Porto Velho;4;1;3
Sergipe;Itabaiana;2;0;2
ASA;Juazeirense;2;0;2
Fluminense-PI;AE Altos;1;0;1
Jacuipense;CSE;1;2;-1
Santa Cruz de Natal;Potiguar de Mossoró;2;2;0
Real Noroeste;Democrata SL;2;0;2
CRAC;Capital FC;4;1;3
Porto Velho;Princesa do Solimoes;6;1;5
Cascavel;Concordia;1;0;1
Costa Rica;Patrocinense;3;0;3
Hercilio Luz;Barra FC;0;1;-1
Tocantinopolis;River-PI;0;3;-3
Avenida;Brasil de Pelotas;2;0;2
Real Brasilia;Mixto;2;2;0
Rio Branco;Trem;1;2;-1
Portuguesa RJ;Audax RJ;3;0;3
Sao Raimundo RR;Humaita;1;0;1
Aguia De Maraba;Moto Club;2;0;2
Ipatinga;Serra;0;4;-4
Uniao Rondonopolis;Brasiliense;1;1;0
Manauara;Manaus;0;0;0
Pouso Alegre;Maringa FC;0;1;-1
Sao Jose EC;Agua Santa;0;0;0
Ipora;Anapolis;0;2;-2
Nova Iguacu;Itabuna;1;0;1
Novo Hamburgo;Cianorte;0;1;-1
Santo Andre;Inter de Limeira;1;0;1
Treze PB;Atletico-CE;1;1;0
Novo Hamburgo;Concordia;2;1;1
Democrata SL;Portuguesa RJ;0;0;0
Hercilio Luz;Avenida;2;1;1
Tocantinopolis;Maranhao;1;1;0
Trem;Princesa do Solimoes;0;0;0
Agua Santa;Pouso Alegre;1;0;1
Humaita;Manauara;0;5;-5
Maringa FC;Sao Jose EC;3;0;3
America RN;Treze PB;1;1;0
Concordia;Cianorte;2;0;2
CRAC;Uniao Rondonopolis;1;0;1
Manaus;Sao Raimundo RR;2;0;2
Anapolis;Real Brasilia;1;0;1
Atletico-CE;Sousa;2;0;2
Brasil de Pelotas;Hercilio Luz;0;1;-1
Cameta;River-PI;3;2;1
Itabaiana;Jacuipense;2;0;2
Juazeirense;Petrolina;2;0;2
Moto Club;Fluminense-PI;0;0;0
Novo Hamburgo;Cascavel;0;0;0
Potiguar de Mossoró;Iguatu;0;0;0
Serra;Itabuna;0;2;-2
Brasiliense;Capital FC;4;0;4
Maracana;Santa Cruz de Natal;2;1;1
Nova Iguacu;Ipatinga;1;1;0
Santo Andre;Costa Rica;1;0;1
Barra FC;Avenida;1;1;0
Mixto;Ipora;1;0;1
CSE;Sergipe;3;2;1
Porto Velho;Rio Branco;2;0;2
AE Altos;Aguia De Maraba;2;0;2
Patrocinense;Inter de Limeira;0;1;-1
Retro;ASA;1;0;1
Audax RJ;Real Noroeste;1;2;-1
Treze PB;Potiguar de Mossoró;2;0;2
Fluminense-PI;Cameta;2;2;0
Itabuna;Democrata SL;1;1;0
Princesa do Solimoes;Humaita;3;1;2
Rio Branco;Manaus;2;1;1
Aguia De Maraba;Tocantinopolis;0;0;0
ASA;Itabaiana;0;2;-2
Capital FC;Mixto;1;0;1
Cascavel;Brasil de Pelotas;0;0;0
Costa Rica;Agua Santa;2;1;1
Hercilio Luz;Novo Hamburgo;1;2;-1
Portuguesa RJ;Serra;1;1;0
Sao Jose EC;Patrocinense;6;0;6
Sergipe;Juazeirense;0;1;-1
Sousa;Maracana;3;2;1
Inter de Limeira;Maringa FC;2;2;0
Ipatinga;Audax RJ;0;3;-3
Avenida;Concordia;1;0;1
Cianorte;Barra FC;1;1;0
Iguatu;America RN;1;0;1
Petrolina;CSE;1;1;0
Real Noroeste;Nova Iguacu;0;1;-1
River-PI;Moto Club;1;3;-2
Uniao Rondonopolis;Anapolis;1;0;1
Manauara;Trem;4;1;3
Ipora;Brasiliense;1;3;-2
Jacuipense;Retro;1;0;1
Real Brasilia;CRAC;1;1;0
Santa Cruz de Natal;Atletico-CE;1;2;-1
Maranhao;AE Altos;0;2;-2
Pouso Alegre;Santo Andre;1;1;0
