DATE;HOME;AWAY;FTHG;FTAG;DIFF
26/05/2024;Sevilla;Barcelona;1;2;-1
26/05/2024;Celta Vigo;Valencia;2;2;0
26/05/2024;Las Palmas;Alaves;1;1;0
26/05/2024;Getafe;Mallorca;1;2;-1
25/05/2024;Real Madrid;Betis;0;0;0
25/05/2024;Almeria;Cadiz CF;6;1;5
25/05/2024;Rayo Vallecano;Ath Bilbao;0;1;-1
25/05/2024;Real Sociedad;Atl. Madrid;0;2;-2
25/05/2024;Osasuna;Villarreal;1;1;0
24/05/2024;Girona;Granada CF;7;0;7
19/05/2024;Ath Bilbao;Sevilla;2;0;2
19/05/2024;Atl. Madrid;Osasuna;1;4;-3
19/05/2024;Barcelona;Rayo Vallecano;3;0;3
19/05/2024;Betis;Real Sociedad;0;2;-2
19/05/2024;Cadiz CF;Las Palmas;0;0;0
19/05/2024;Granada CF;Celta Vigo;1;2;-1
19/05/2024;Mallorca;Almeria;2;2;0
19/05/2024;Valencia;Girona;1;3;-2
19/05/2024;Villarreal;Real Madrid;4;4;0
18/05/2024;Alaves;Getafe;1;0;1
16/05/2024;Real Sociedad;Valencia;1;0;1
16/05/2024;Almeria;Barcelona;0;2;-2
16/05/2024;Las Palmas;Betis;2;2;0
15/05/2024;Celta Vigo;Ath Bilbao;2;1;1
15/05/2024;Getafe;Atl. Madrid;0;3;-3
15/05/2024;Rayo Vallecano;Granada CF;2;1;1
15/05/2024;Sevilla;Cadiz CF;0;1;-1
14/05/2024;Girona;Villarreal;0;1;-1
14/05/2024;Real Madrid;Alaves;5;0;5
14/05/2024;Osasuna;Mallorca;1;1;0
13/05/2024;Barcelona;Real Sociedad;2;0;2
12/05/2024;Betis;Almeria;3;2;1
12/05/2024;Valencia;Rayo Vallecano;0;0;0
12/05/2024;Atl. Madrid;Celta Vigo;1;0;1
12/05/2024;Cadiz CF;Getafe;1;0;1
11/05/2024;Ath Bilbao;Osasuna;2;2;0
11/05/2024;Granada CF;Real Madrid;0;4;-4
11/05/2024;Villarreal;Sevilla;3;2;1
11/05/2024;Mallorca;Las Palmas;1;0;1
10/05/2024;Alaves;Girona;2;2;0
05/05/2024;Rayo Vallecano;Almeria;0;1;-1
05/05/2024;Sevilla;Granada CF;3;0;3
05/05/2024;Valencia;Alaves;0;1;-1
05/05/2024;Celta Vigo;Villarreal;3;2;1
05/05/2024;Osasuna;Betis;0;2;-2
04/05/2024;Mallorca;Atl. Madrid;0;1;-1
04/05/2024;Girona;Barcelona;4;2;2
04/05/2024;Real Madrid;Cadiz CF;3;0;3
04/05/2024;Real Sociedad;Las Palmas;2;0;2
03/05/2024;Getafe;Ath Bilbao;0;2;-2
29/04/2024;Barcelona;Valencia;4;2;2
28/04/2024;Betis;Sevilla;1;1;0
28/04/2024;Villarreal;Rayo Vallecano;3;0;3
28/04/2024;Granada CF;Osasuna;3;0;3
28/04/2024;Cadiz CF;Mallorca;1;1;0
27/04/2024;Atl. Madrid;Ath Bilbao;3;1;2
27/04/2024;Alaves;Celta Vigo;3;0;3
27/04/2024;Almeria;Getafe;1;3;-2
27/04/2024;Las Palmas;Girona;0;2;-2
26/04/2024;Real Sociedad;Real Madrid;0;1;-1
22/04/2024;Sevilla;Mallorca;2;1;1
21/04/2024;Real Madrid;Barcelona;3;2;1
21/04/2024;Alaves;Atl. Madrid;2;0;2
21/04/2024;Almeria;Villarreal;1;2;-1
21/04/2024;Getafe;Real Sociedad;1;1;0
20/04/2024;Girona;Cadiz CF;4;1;3
20/04/2024;Valencia;Betis;1;2;-1
20/04/2024;Rayo Vallecano;Osasuna;2;1;1
20/04/2024;Celta Vigo;Las Palmas;4;1;3
19/04/2024;Ath Bilbao;Granada CF;1;1;0
15/04/2024;Osasuna;Valencia;0;1;-1
14/04/2024;Real Sociedad;Almeria;2;2;0
14/04/2024;Ath Bilbao;Villarreal;1;1;0
14/04/2024;Granada CF;Alaves;2;0;2
14/04/2024;Las Palmas;Sevilla;0;2;-2
13/04/2024;Cadiz CF;Barcelona;0;1;-1
13/04/2024;Mallorca;Real Madrid;0;1;-1
13/04/2024;Rayo Vallecano;Getafe;0;0;0
13/04/2024;Atl. Madrid;Girona;3;1;2
12/04/2024;Betis;Celta Vigo;2;1;1
04/04/2024;Granada CF;Valencia;0;1;-1
01/04/2024;Villarreal;Atl. Madrid;1;2;-1
31/03/2024;Real Madrid;Ath Bilbao;2;0;2
31/03/2024;Alaves;Real Sociedad;0;1;-1
31/03/2024;Girona;Betis;3;2;1
31/03/2024;Celta Vigo;Rayo Vallecano;0;0;0
30/03/2024;Barcelona;Las Palmas;1;0;1
30/03/2024;Valencia;Mallorca;0;0;0
30/03/2024;Almeria;Osasuna;0;3;-3
30/03/2024;Getafe;Sevilla;0;1;-1
29/03/2024;Cadiz CF;Granada CF;1;0;1
