DATE;HOME;AWAY;FTHG;FTAG;DIFF
30/05/2024;Sakaryaspor;Bodrumspor;1;3;-2
24/05/2024;Bodrumspor;Corum;1;0;1
20/05/2024;Corum;Bodrumspor;1;1;0
16/05/2024;Corum;Kocaelispor;2;1;1
16/05/2024;Bodrumspor;Boluspor;2;0;2
11/05/2024;Adanaspor AS;Bandirmaspor;1;0;1
11/05/2024;Boluspor;Corum;2;1;1
11/05/2024;Erzurumspor;Eyupspor;0;4;-4
11/05/2024;Goztepe;Bodrumspor;1;1;0
11/05/2024;Kocaelispor;Sakaryaspor;0;2;-2
11/05/2024;Sanliurfaspor;Manisa FK;2;0;2
11/05/2024;Tuzlaspor;Genclerbirligi;1;1;0
10/05/2024;Giresunspor;Umraniyespor;1;2;-1
10/05/2024;Keciorengucu;Altay;1;1;0
05/05/2024;Altay;Adanaspor AS;0;2;-2
05/05/2024;Bandirmaspor;Keciorengucu;2;1;1
05/05/2024;Bodrumspor;Kocaelispor;3;0;3
05/05/2024;Corum;Sanliurfaspor;1;1;0
05/05/2024;Genclerbirligi;Giresunspor;1;0;1
05/05/2024;Manisa FK;Boluspor;1;0;1
05/05/2024;Sakaryaspor;Tuzlaspor;0;2;-2
05/05/2024;Umraniyespor;Erzurumspor;2;0;2
04/05/2024;Eyupspor;Goztepe;0;3;-3
28/04/2024;Adanaspor AS;Manisa FK;1;1;0
28/04/2024;Boluspor;Altay;3;1;2
28/04/2024;Erzurumspor;Corum;2;1;1
28/04/2024;Giresunspor;Sakaryaspor;2;3;-1
28/04/2024;Goztepe;Genclerbirligi;2;0;2
28/04/2024;Keciorengucu;Umraniyespor;4;2;2
28/04/2024;Kocaelispor;Bandirmaspor;3;1;2
28/04/2024;Sanliurfaspor;Eyupspor;1;3;-2
28/04/2024;Tuzlaspor;Bodrumspor;0;0;0
22/04/2024;Umraniyespor;Kocaelispor;1;0;1
21/04/2024;Sakaryaspor;Keciorengucu;2;1;1
21/04/2024;Corum;Adanaspor AS;2;0;2
21/04/2024;Genclerbirligi;Erzurumspor;2;0;2
21/04/2024;Bodrumspor;Sanliurfaspor;2;1;1
20/04/2024;Eyupspor;Boluspor;0;0;0
20/04/2024;Giresunspor;Goztepe;0;3;-3
20/04/2024;Bandirmaspor;Tuzlaspor;1;1;0
19/04/2024;Altay;Manisa FK;0;2;-2
15/04/2024;Adanaspor AS;Bodrumspor;1;1;0
15/04/2024;Erzurumspor;Sakaryaspor;0;0;0
14/04/2024;Kocaelispor;Giresunspor;2;0;2
14/04/2024;Sanliurfaspor;Bandirmaspor;1;1;0
14/04/2024;Tuzlaspor;Goztepe;1;1;0
13/04/2024;Altay;Corum;1;3;-2
13/04/2024;Boluspor;Umraniyespor;1;0;1
13/04/2024;Keciorengucu;Genclerbirligi;2;1;1
12/04/2024;Manisa FK;Eyupspor;2;2;0
08/04/2024;Goztepe;Erzurumspor;3;0;3
08/04/2024;Giresunspor;Tuzlaspor;0;3;-3
07/04/2024;Eyupspor;Altay;4;1;3
07/04/2024;Genclerbirligi;Adanaspor AS;1;1;0
07/04/2024;Bandirmaspor;Manisa FK;1;1;0
07/04/2024;Corum;Kocaelispor;1;1;0
06/04/2024;Sakaryaspor;Boluspor;2;0;2
06/04/2024;Umraniyespor;Sanliurfaspor;0;1;-1
06/04/2024;Bodrumspor;Keciorengucu;0;0;0
04/04/2024;Erzurumspor;Giresunspor;2;1;1
03/04/2024;Altay;Bandirmaspor;0;6;-6
03/04/2024;Kocaelispor;Goztepe;3;2;1
03/04/2024;Adanaspor AS;Eyupspor;1;0;1
03/04/2024;Tuzlaspor;Umraniyespor;1;1;0
02/04/2024;Manisa FK;Bodrumspor;0;1;-1
02/04/2024;Boluspor;Genclerbirligi;1;2;-1
02/04/2024;Keciorengucu;Corum;1;2;-1
02/04/2024;Sanliurfaspor;Sakaryaspor;2;0;2
17/03/2024;Sakaryaspor;Altay;2;0;2
17/03/2024;Giresunspor;Sanliurfaspor;0;6;-6
17/03/2024;Umraniyespor;Adanaspor AS;2;0;2
17/03/2024;Bodrumspor;Boluspor;1;1;0
17/03/2024;Erzurumspor;Tuzlaspor;1;0;1
16/03/2024;Goztepe;Keciorengucu;0;0;0
16/03/2024;Corum;Manisa FK;4;3;1
16/03/2024;Bandirmaspor;Eyupspor;2;3;-1
15/03/2024;Genclerbirligi;Kocaelispor;2;0;2
11/03/2024;Manisa FK;Umraniyespor;3;2;1
10/03/2024;Kocaelispor;Tuzlaspor;1;2;-1
10/03/2024;Sanliurfaspor;Goztepe;0;1;-1
10/03/2024;Altay;Genclerbirligi;0;4;-4
10/03/2024;Keciorengucu;Erzurumspor;0;2;-2
09/03/2024;Eyupspor;Corum;0;1;-1
09/03/2024;Adanaspor AS;Sakaryaspor;0;0;0
09/03/2024;Bandirmaspor;Bodrumspor;0;0;0
08/03/2024;Boluspor;Giresunspor;2;1;1
04/03/2024;Genclerbirligi;Sanliurfaspor;1;1;0
03/03/2024;Corum;Bandirmaspor;0;0;0
03/03/2024;Goztepe;Boluspor;2;0;2
