DATE;HOME;AWAY;FTHG;FTAG;DIFF
26/05/2024;Adana Demirspor;Basaksehir;2;6;-4
26/05/2024;Fenerbahce;Istanbulspor AS;6;0;6
26/05/2024;Hatayspor;Rizespor;2;0;2
26/05/2024;Kasimpasa;Besiktas;2;1;1
26/05/2024;Konyaspor;Galatasaray;1;3;-2
26/05/2024;Pendikspor;Gaziantep;0;1;-1
26/05/2024;Trabzonspor;Ankaragucu;4;2;2
25/05/2024;Sivasspor;Kayserispor;2;1;1
25/05/2024;Karagumruk;Samsunspor;3;1;2
24/05/2024;Alanyaspor;Antalyaspor;1;1;0
19/05/2024;Galatasaray;Fenerbahce;0;1;-1
18/05/2024;Ankaragucu;Pendikspor;0;0;0
18/05/2024;Basaksehir;Trabzonspor;0;1;-1
18/05/2024;Besiktas;Hatayspor;2;2;0
18/05/2024;Gaziantep;Karagumruk;3;1;2
18/05/2024;Kayserispor;Konyaspor;2;2;0
18/05/2024;Rizespor;Kasimpasa;0;0;0
18/05/2024;Samsunspor;Alanyaspor;1;1;0
17/05/2024;Antalyaspor;Adana Demirspor;2;1;1
17/05/2024;Istanbulspor AS;Sivasspor;1;3;-2
12/05/2024;Adana Demirspor;Gaziantep;1;6;-5
12/05/2024;Alanyaspor;Besiktas;1;1;0
12/05/2024;Fenerbahce;Kayserispor;3;0;3
12/05/2024;Hatayspor;Ankaragucu;2;1;1
12/05/2024;Karagumruk;Galatasaray;2;3;-1
12/05/2024;Kasimpasa;Antalyaspor;3;1;2
12/05/2024;Konyaspor;Samsunspor;3;0;3
12/05/2024;Pendikspor;Rizespor;2;1;1
12/05/2024;Sivasspor;Basaksehir;0;1;-1
12/05/2024;Trabzonspor;Istanbulspor AS;3;0;3
06/05/2024;Antalyaspor;Pendikspor;1;2;-1
06/05/2024;Konyaspor;Fenerbahce;0;0;0
05/05/2024;Galatasaray;Sivasspor;6;1;5
05/05/2024;Gaziantep;Hatayspor;1;1;0
05/05/2024;Basaksehir;Kasimpasa;4;1;3
04/05/2024;Kayserispor;Karagumruk;2;2;0
04/05/2024;Samsunspor;Trabzonspor;3;1;2
04/05/2024;Istanbulspor AS;Adana Demirspor;0;1;-1
03/05/2024;Ankaragucu;Alanyaspor;1;1;0
03/05/2024;Besiktas;Rizespor;3;2;1
29/04/2024;Karagumruk;Antalyaspor;4;1;3
28/04/2024;Rizespor;Ankaragucu;2;2;0
28/04/2024;Trabzonspor;Gaziantep;4;2;2
28/04/2024;Alanyaspor;Istanbulspor AS;6;0;6
28/04/2024;Pendikspor;Kayserispor;1;2;-1
27/04/2024;Fenerbahce;Besiktas;2;1;1
27/04/2024;Hatayspor;Basaksehir;1;2;-1
27/04/2024;Kasimpasa;Samsunspor;1;0;1
27/04/2024;Sivasspor;Konyaspor;1;0;1
26/04/2024;Adana Demirspor;Galatasaray;0;3;-3
22/04/2024;Sivasspor;Fenerbahce;2;2;0
21/04/2024;Antalyaspor;Hatayspor;2;1;1
21/04/2024;Galatasaray;Pendikspor;4;1;3
21/04/2024;Gaziantep;Kasimpasa;2;0;2
21/04/2024;Basaksehir;Rizespor;2;0;2
20/04/2024;Kayserispor;Trabzonspor;1;2;-1
20/04/2024;Samsunspor;Adana Demirspor;1;1;0
20/04/2024;Konyaspor;Alanyaspor;0;2;-2
20/04/2024;Istanbulspor AS;Karagumruk;1;2;-1
19/04/2024;Besiktas;Ankaragucu;2;0;2
15/04/2024;Alanyaspor;Galatasaray;0;4;-4
14/04/2024;Karagumruk;Fenerbahce;1;2;-1
14/04/2024;Hatayspor;Istanbulspor AS;0;3;-3
14/04/2024;Rizespor;Antalyaspor;3;0;3
14/04/2024;Pendikspor;Basaksehir;2;3;-1
13/04/2024;Adana Demirspor;Kayserispor;0;0;0
13/04/2024;Besiktas;Samsunspor;1;1;0
13/04/2024;Ankaragucu;Gaziantep;3;1;2
13/04/2024;Kasimpasa;Konyaspor;0;2;-2
12/04/2024;Trabzonspor;Sivasspor;0;1;-1
04/04/2024;Basaksehir;Besiktas;1;1;0
04/04/2024;Samsunspor;Pendikspor;0;0;0
03/04/2024;Fenerbahce;Adana Demirspor;4;2;2
03/04/2024;Kayserispor;Kasimpasa;0;2;-2
03/04/2024;Konyaspor;Trabzonspor;1;3;-2
03/04/2024;Sivasspor;Karagumruk;1;0;1
02/04/2024;Antalyaspor;Ankaragucu;1;1;0
02/04/2024;Galatasaray;Hatayspor;1;0;1
02/04/2024;Gaziantep;Alanyaspor;0;3;-3
02/04/2024;Istanbulspor AS;Rizespor;0;4;-4
17/03/2024;Trabzonspor;Fenerbahce;2;3;-1
17/03/2024;Hatayspor;Samsunspor;3;0;3
17/03/2024;Kasimpasa;Galatasaray;3;4;-1
17/03/2024;Rizespor;Gaziantep;3;1;2
16/03/2024;Adana Demirspor;Sivasspor;4;1;3
16/03/2024;Besiktas;Antalyaspor;1;2;-1
16/03/2024;Ankaragucu;Basaksehir;2;1;1
16/03/2024;Alanyaspor;Kayserispor;1;0;1
15/03/2024;Karagumruk;Konyaspor;1;1;0
15/03/2024;Pendikspor;Istanbulspor AS;1;0;1
11/03/2024;Gaziantep;Besiktas;2;0;2
10/03/2024;Fenerbahce;Pendikspor;4;1;3
10/03/2024;Istanbulspor AS;Kasimpasa;1;2;-1
